pathwayName,sourceId,type,metabolite
Homocarnosinosis,SMP00385,hmdb,Cysteine
Homocarnosinosis,SMP00385,hmdb,Phosphate
Porphyrin Metabolism,SMP00024,hmdb,Glycine
"Glycogenosis, Type IC",SMP00574,hmdb,Phosphate
"Glycogenosis, Type IC",SMP00574,hmdb,3-Phosphoglycerate
"Glycogenosis, Type IC",SMP00574,hmdb,Fructose-6-phosphate
"Glycogenosis, Type IC",SMP00574,hmdb,Pyruvate
"Glycogenosis, Type IC",SMP00574,hmdb,Lactate
"Glycogenosis, Type IC",SMP00574,hmdb,Glucose
Mitochondrial Electron Transport Chain,SMP00355,hmdb,Fumarate
Mitochondrial Electron Transport Chain,SMP00355,hmdb,Phosphate
Mitochondrial Electron Transport Chain,SMP00355,hmdb,Succinate
Hyperprolinemia Type I,SMP00361,hmdb,Citrulline
Hyperprolinemia Type I,SMP00361,hmdb,Proline
Hyperprolinemia Type I,SMP00361,hmdb,Creatine
Hyperprolinemia Type I,SMP00361,hmdb,Arginine
Hyperprolinemia Type I,SMP00361,hmdb,Phosphate
Hyperprolinemia Type I,SMP00361,hmdb,Aspartate
Hyperprolinemia Type I,SMP00361,hmdb,Glycine
Hyperprolinemia Type I,SMP00361,hmdb,Succinate
Hyperprolinemia Type I,SMP00361,hmdb,Urea
Hyperprolinemia Type I,SMP00361,hmdb,Fumarate
Arbekacin Action Pathway,SMP00713,hmdb,Threonine
Arbekacin Action Pathway,SMP00713,hmdb,Valine
Arbekacin Action Pathway,SMP00713,hmdb,Methionine
Arbekacin Action Pathway,SMP00713,hmdb,Proline
Arbekacin Action Pathway,SMP00713,hmdb,Leucine
Arbekacin Action Pathway,SMP00713,hmdb,Alanine
Arbekacin Action Pathway,SMP00713,hmdb,Histidine
Arbekacin Action Pathway,SMP00713,hmdb,Isoleucine
Arbekacin Action Pathway,SMP00713,hmdb,Asparagine
Practolol Action Pathway,SMP00669,hmdb,Phosphate
Adenosine Deaminase Deficiency,SMP00144,hmdb,Urate
Adenosine Deaminase Deficiency,SMP00144,hmdb,Guanine
Adenosine Deaminase Deficiency,SMP00144,hmdb,Hypoxanthine
Adenosine Deaminase Deficiency,SMP00144,hmdb,Fumarate
Adenosine Deaminase Deficiency,SMP00144,hmdb,Aspartate
Adenosine Deaminase Deficiency,SMP00144,hmdb,Glycine
Adenosine Deaminase Deficiency,SMP00144,hmdb,Inosine
Adenosine Deaminase Deficiency,SMP00144,hmdb,Adenosine
Adenosine Deaminase Deficiency,SMP00144,hmdb,Adenine
Adenosine Deaminase Deficiency,SMP00144,hmdb,Phosphate
Adenosine Deaminase Deficiency,SMP00144,hmdb,Xanthosine
Adenosine Deaminase Deficiency,SMP00144,hmdb,2'-Deoxyguanosine
Adenosine Deaminase Deficiency,SMP00144,hmdb,Guanosine
Adenosine Deaminase Deficiency,SMP00144,hmdb,Xanthine
Adenosine Deaminase Deficiency,SMP00144,hmdb,Glutamine
Glutaric Aciduria Type I,SMP00186,hmdb,2-Aminoadipate
Glutaric Aciduria Type I,SMP00186,hmdb,Lysine
"Glycogenosis, Type IV. Amylopectinosis, Anderson disease",SMP00554,hmdb,Glucuronate
"Glycogenosis, Type IV. Amylopectinosis, Anderson disease",SMP00554,hmdb,Maltose
"Glycogenosis, Type IV. Amylopectinosis, Anderson disease",SMP00554,hmdb,Fructose
"Glycogenosis, Type IV. Amylopectinosis, Anderson disease",SMP00554,hmdb,3-Phosphoglycerate
"Glycogenosis, Type IV. Amylopectinosis, Anderson disease",SMP00554,hmdb,Phosphate
Succinic semialdehyde dehydrogenase deficiency,SMP00567,hmdb,Pyruvate
Succinic semialdehyde dehydrogenase deficiency,SMP00567,hmdb,Alanine
Succinic semialdehyde dehydrogenase deficiency,SMP00567,hmdb,Glutamine
Succinic semialdehyde dehydrogenase deficiency,SMP00567,hmdb,Aspartate
Succinic semialdehyde dehydrogenase deficiency,SMP00567,hmdb,Glycine
Succinic semialdehyde dehydrogenase deficiency,SMP00567,hmdb,Phosphate
Succinic semialdehyde dehydrogenase deficiency,SMP00567,hmdb,Succinate
Succinic semialdehyde dehydrogenase deficiency,SMP00567,hmdb,Fructose-6-phosphate
Succinic semialdehyde dehydrogenase deficiency,SMP00567,hmdb,Cysteine
Capecitabine Metabolism Pathway,SMP00607,hmdb,Phosphate
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP00179,hmdb,Glycerate
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP00179,hmdb,Alanine
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP00179,hmdb,Creatine
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP00179,hmdb,Glycine
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP00179,hmdb,Methionine
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP00179,hmdb,3-Phosphoglycerate
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP00179,hmdb,Phosphate
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP00179,hmdb,Cysteine
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP00179,hmdb,Cystathionine
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP00179,hmdb,Betaine
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP00179,hmdb,Arginine
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP00179,hmdb,Serine
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP00179,hmdb,Pyruvate
The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria,SMP02358,hmdb,Pyruvate
The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria,SMP02358,hmdb,Malate
The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria,SMP02358,hmdb,2-Hydroxyglutarate
The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria,SMP02358,hmdb,Glutamine
The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria,SMP02358,hmdb,Succinate
The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria,SMP02358,hmdb,Fumarate
The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria,SMP02358,hmdb,Citrate
The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria,SMP02358,hmdb,Phosphate
Metipranolol Action Pathway,SMP00667,hmdb,Phosphate
Fabry disease,SMP00525,hmdb,Sphinganine
Fabry disease,SMP00525,hmdb,Sphingosine
Fabry disease,SMP00525,hmdb,Phosphate
Fabry disease,SMP00525,hmdb,Phosphoethanolamine
Fabry disease,SMP00525,hmdb,Glucose
Fabry disease,SMP00525,hmdb,Serine
Fabry disease,SMP00525,hmdb,Galactose
3-Beta-Hydroxysteroid Dehydrogenase Deficiency,SMP00718,hmdb,Cholesterol
Nizatidine Pathway,SMP00233,hmdb,Phosphate
Nizatidine Pathway,SMP00233,hmdb,Histamine
Gastric Acid Production,SMP00589,hmdb,Histamine
Gastric Acid Production,SMP00589,hmdb,Phosphate
Hereditary Coproporphyria (HCP),SMP00342,hmdb,Glycine
Mevalonic aciduria,SMP00510,hmdb,Phosphate
Mevalonic aciduria,SMP00510,hmdb,Cholesterol
Mevalonic aciduria,SMP00510,hmdb,Squalene
Fumarase deficiency,SMP00547,hmdb,Phosphate
Fumarase deficiency,SMP00547,hmdb,Malate
Fumarase deficiency,SMP00547,hmdb,Succinate
Fumarase deficiency,SMP00547,hmdb,Citrate
Fumarase deficiency,SMP00547,hmdb,Fumarate
Fumarase deficiency,SMP00547,hmdb,Pyruvate
Succinyl CoA: 3-ketoacid CoA transferase deficiency,SMP00569,hmdb,Succinate
Pancreas Function,SMP00643,hmdb,Glucose
"Fructose-1,6-diphosphatase deficiency",SMP00562,hmdb,Lactate
"Fructose-1,6-diphosphatase deficiency",SMP00562,hmdb,Pyruvate
"Fructose-1,6-diphosphatase deficiency",SMP00562,hmdb,Glucose
"Fructose-1,6-diphosphatase deficiency",SMP00562,hmdb,Fructose-6-phosphate
"Fructose-1,6-diphosphatase deficiency",SMP00562,hmdb,Phosphate
"Fructose-1,6-diphosphatase deficiency",SMP00562,hmdb,3-Phosphoglycerate
Taurine and Hypotaurine Metabolism,SMP00021,hmdb,Cysteine
Taurine and Hypotaurine Metabolism,SMP00021,hmdb,Taurine
Lactic Acidemia,SMP00313,hmdb,Alanine
Lactic Acidemia,SMP00313,hmdb,Glycine
Lactic Acidemia,SMP00313,hmdb,Pyruvate
Lactic Acidemia,SMP00313,hmdb,Phosphate
GLUT-1 deficiency syndrome,SMP00580,hmdb,Phosphate
GLUT-1 deficiency syndrome,SMP00580,hmdb,Glucose
Threonine and 2-Oxobutanoate Degradation,SMP00452,hmdb,Threonine
UMP Synthase Deiciency (Orotic Aciduria),SMP00219,hmdb,Cytidine
UMP Synthase Deiciency (Orotic Aciduria),SMP00219,hmdb,beta-Alanine
UMP Synthase Deiciency (Orotic Aciduria),SMP00219,hmdb,Uracil
UMP Synthase Deiciency (Orotic Aciduria),SMP00219,hmdb,Glutamine
UMP Synthase Deiciency (Orotic Aciduria),SMP00219,hmdb,Phosphate
UMP Synthase Deiciency (Orotic Aciduria),SMP00219,hmdb,"5,6-Dihydrouracil"
UMP Synthase Deiciency (Orotic Aciduria),SMP00219,hmdb,Uridine
Thioguanine Pathway,SMP00430,hmdb,2'-Deoxyguanosine
Thioguanine Pathway,SMP00430,hmdb,Xanthosine
Thioguanine Pathway,SMP00430,hmdb,Guanosine
Thioguanine Pathway,SMP00430,hmdb,Guanine
Thioguanine Pathway,SMP00430,hmdb,Adenine
Thioguanine Pathway,SMP00430,hmdb,Urate
Thioguanine Pathway,SMP00430,hmdb,Glutamine
Thioguanine Pathway,SMP00430,hmdb,Glycine
Thioguanine Pathway,SMP00430,hmdb,Aspartate
Thioguanine Pathway,SMP00430,hmdb,Hypoxanthine
Thioguanine Pathway,SMP00430,hmdb,Phosphate
Thioguanine Pathway,SMP00430,hmdb,Adenosine
Thioguanine Pathway,SMP00430,hmdb,Fumarate
Thioguanine Pathway,SMP00430,hmdb,Inosine
Thioguanine Pathway,SMP00430,hmdb,Xanthine
Repaglinide Pathway,SMP00454,hmdb,Glucose
Arginine and Proline Metabolism,SMP00020,hmdb,Phosphate
Arginine and Proline Metabolism,SMP00020,hmdb,Proline
Arginine and Proline Metabolism,SMP00020,hmdb,Aspartate
Arginine and Proline Metabolism,SMP00020,hmdb,Citrulline
