"pathwayName","sourceId","type","metabolite"
"Herpes simplex infection","05168","kegg","IKBKG"
"Herpes simplex infection","05168","kegg","CSNK2A1P"
"Herpes simplex infection","05168","kegg","EIF2S1"
"Herpes simplex infection","05168","kegg","HLA-DPB1"
"Herpes simplex infection","05168","kegg","EIF2AK3"
"Herpes simplex infection","05168","kegg","IL12B"
"Herpes simplex infection","05168","kegg","MAPK10"
"Herpes simplex infection","05168","kegg","SRSF7"
"Herpes simplex infection","05168","kegg","HLA-DPA1"
"Herpes simplex infection","05168","kegg","TRAF6"
"Herpes simplex infection","05168","kegg","STAT2"
"Herpes simplex infection","05168","kegg","TAF6L"
"Herpes simplex infection","05168","kegg","NFKBIA"
"Herpes simplex infection","05168","kegg","TLR9"
"Herpes simplex infection","05168","kegg","MCRS1"
"Herpes simplex infection","05168","kegg","C5"
"Herpes simplex infection","05168","kegg","MYD88"
"Herpes simplex infection","05168","kegg","AVP"
"Herpes simplex infection","05168","kegg","DAXX"
"Herpes simplex infection","05168","kegg","SKP1"
"Herpes simplex infection","05168","kegg","POU2F3"
"Herpes simplex infection","05168","kegg","SRPK1"
"Herpes simplex infection","05168","kegg","GTF2I"
"Herpes simplex infection","05168","kegg","SP100"
"Herpes simplex infection","05168","kegg","EEF1D"
"Herpes simplex infection","05168","kegg","HCFC2"
"Herpes simplex infection","05168","kegg","NXF1"
"Herpes simplex infection","05168","kegg","SOCS3"
"Herpes simplex infection","05168","kegg","TAP1"
"Herpes simplex infection","05168","kegg","TRAF1"
"Herpes simplex infection","05168","kegg","EIF2A"
"Herpes simplex infection","05168","kegg","TNFRSF14"
"Herpes simplex infection","05168","kegg","PVRL1"
"Herpes simplex infection","05168","kegg","MAPK8"
"Herpes simplex infection","05168","kegg","SRSF3"
"Herpes simplex infection","05168","kegg","CASP8"
"Herpes simplex infection","05168","kegg","HLA-C"
"Herpes simplex infection","05168","kegg","HGF"
"Herpes simplex infection","05168","kegg","CCL5"
"Herpes simplex infection","05168","kegg","PPP1CA"
"Herpes simplex infection","05168","kegg","JAK2"
"Herpes simplex infection","05168","kegg","TAP2"
"Herpes simplex infection","05168","kegg","STAT1"
"Herpes simplex infection","05168","kegg","SRSF6"
"Herpes simplex infection","05168","kegg","RNASEL"
"Herpes simplex infection","05168","kegg","TBP"
"Herpes simplex infection","05168","kegg","MED8"
"Herpes simplex infection","05168","kegg","CDK1"
"Herpes simplex infection","05168","kegg","CHUK"
"Herpes simplex infection","05168","kegg","TAB1"
"Herpes simplex infection","05168","kegg","TAF4B"
"Herpes simplex infection","05168","kegg","EIF2AK4"
"Herpes simplex infection","05168","kegg","CREBBP"
"Herpes simplex infection","05168","kegg","SRSF9"
"Herpes simplex infection","05168","kegg","IL12A"
"Herpes simplex infection","05168","kegg","TAB2"
"Herpes simplex infection","05168","kegg","CSNK2B"
"Herpes simplex infection","05168","kegg","PVRL2"
"Herpes simplex infection","05168","kegg","CSNK2A1"
"Herpes simplex infection","05168","kegg","TAF5"
"Herpes simplex infection","05168","kegg","HCFC1"
"Herpes simplex infection","05168","kegg","HLA-DMA"
"Herpes simplex infection","05168","kegg","JUN"
"Herpes simplex infection","05168","kegg","SRSF5"
"Herpes simplex infection","05168","kegg","CLOCK"
"Herpes simplex infection","05168","kegg","IRF9"
"Herpes simplex infection","05168","kegg","SRSF2"
"Herpes simplex infection","05168","kegg","CD74"
"Herpes simplex infection","05168","kegg","IFNGR1"
"Herpes simplex infection","05168","kegg","IFNGR2"
"Herpes simplex infection","05168","kegg","HLA-DQA1"
"Herpes simplex infection","05168","kegg","PPP1CB"
"Herpes simplex infection","05168","kegg","TNF"
"Herpes simplex infection","05168","kegg","HLA-DOA"
"Herpes simplex infection","05168","kegg","CFP"
"Herpes simplex infection","05168","kegg","C3"
"Herpes simplex infection","05168","kegg","RELA"
"Herpes simplex infection","05168","kegg","TAF3"
"Herpes simplex infection","05168","kegg","TLR3"
"Herpes simplex infection","05168","kegg","HLA-DMB"
"Herpes simplex infection","05168","kegg","NFKBIB"
"Herpes simplex infection","05168","kegg","IKBKE"
"Herpes simplex infection","05168","kegg","EIF2AK2"
"Herpes simplex infection","05168","kegg","CYCS"
"Herpes simplex infection","05168","kegg","DDX58"
"Herpes simplex infection","05168","kegg","HLA-DOB"
"Herpes simplex infection","05168","kegg","CASP3"
"Herpes simplex infection","05168","kegg","UBE2R2"
"Herpes simplex infection","05168","kegg","PML"
"Herpes simplex infection","05168","kegg","CSNK2A2"
"Herpes simplex infection","05168","kegg","SRSF4"
"Herpes simplex infection","05168","kegg","IFNAR1"
"Herpes simplex infection","05168","kegg","CDK2"
"Herpes simplex infection","05168","kegg","CDC34"
"Herpes simplex infection","05168","kegg","IKBKB"
"Herpes simplex infection","05168","kegg","TICAM1"
"Herpes simplex infection","05168","kegg","EP300"
"Herpes simplex infection","05168","kegg","GTF2IRD1"
"Herpes simplex infection","05168","kegg","IL1B"
"Herpes simplex infection","05168","kegg","IFIH1"
"Herpes simplex infection","05168","kegg","HLA-F"
"Herpes simplex infection","05168","kegg","OAS3"
"Herpes simplex infection","05168","kegg","TAF13"
"Herpes simplex infection","05168","kegg","C1QBP"
"Herpes simplex infection","05168","kegg","SRSF8"
"Herpes simplex infection","05168","kegg","SKP2"
"Herpes simplex infection","05168","kegg","IFIT1"
"Herpes simplex infection","05168","kegg","IL15"
"Herpes simplex infection","05168","kegg","CCL2"
"Herpes simplex infection","05168","kegg","EIF2AK1"
"Herpes simplex infection","05168","kegg","TBK1"
"Herpes simplex infection","05168","kegg","IL6"
"Herpes simplex infection","05168","kegg","PTPN11"
"Herpes simplex infection","05168","kegg","MAPK9"
"Herpes simplex infection","05168","kegg","MAP3K7"
"Herpes simplex infection","05168","kegg","TYK2"
"Herpes simplex infection","05168","kegg","IRF7"
"Herpes simplex infection","05168","kegg","IFNAR2"
"Herpes simplex infection","05168","kegg","TNFRSF1A"
"Herpes simplex infection","05168","kegg","HLA-DQA2"
"Herpes simplex infection","05168","kegg","TRAF5"
"Herpes simplex infection","05168","kegg","PPP1CC"
"Herpes simplex infection","05168","kegg","USP7"
"Herpes simplex infection","05168","kegg","SRSF1"
"Herpes simplex infection","05168","kegg","HLA-DRA"
"Herpes simplex infection","05168","kegg","FADD"
"Herpes simplex infection","05168","kegg","THOC4"
"Herpes simplex infection","05168","kegg","TRAF2"
"Herpes simplex infection","05168","kegg","GLTSCR2"
"Herpes simplex infection","05168","kegg","TLR2"
"Herpes simplex infection","05168","kegg","OAS1"
"Herpes simplex infection","05168","kegg","NXF5"
"Herpes simplex infection","05168","kegg","PER2"
"Herpes simplex infection","05168","kegg","TRAF3"
"Herpes simplex infection","05168","kegg","MAVS"
"Herpes simplex infection","05168","kegg","IRF3"
"Herpes simplex infection","05168","kegg","HLA-DRB4"
"Herpes simplex infection","05168","kegg","PER3"
"Herpes simplex infection","05168","kegg","FAS"
"Herpes simplex infection","05168","kegg","TAF5L"
"Herpes simplex infection","05168","kegg","TAF9B"
"Herpes simplex infection","05168","kegg","TBPL1"
"Herpes simplex infection","05168","kegg","POLR2A"
"Herpes simplex infection","05168","kegg","HLA-G"
"Herpes simplex infection","05168","kegg","LTA"
"Herpes simplex infection","05168","kegg","OAS2"
"Herpes simplex infection","05168","kegg","TAF4"
"Herpes simplex infection","05168","kegg","PILRA"
"Herpes simplex infection","05168","kegg","TNFSF14"
"Herpes simplex infection","05168","kegg","FASLG"
"Herpes simplex infection","05168","kegg","TP53"
"Herpes simplex infection","05168","kegg","ARNTL"
"Herpes simplex infection","05168","kegg","JAK1"
"Herpes simplex infection","05168","kegg","PER1"
"Herpes simplex infection","05168","kegg","TAF6"
"Herpes simplex infection","05168","kegg","HLA-DRB5"
"Herpes simplex infection","05168","kegg","CAP1"
"Herpes simplex infection","05168","kegg","HLA-A"
"Herpes simplex infection","05168","kegg","HNRNPK"
"Herpes simplex infection","05168","kegg","HMGN1"
"Herpes simplex infection","05168","kegg","FOS"
"Herpes simplex infection","05168","kegg","HLA-DQB1"
"Herpes simplex infection","05168","kegg","CUL1"
"Shigellosis","05131","kegg","NOD1"
"Shigellosis","05131","kegg","CRK"
"Shigellosis","05131","kegg","PFN4"
"Shigellosis","05131","kegg","WASF2"
"Shigellosis","05131","kegg","RIPK2"
"Shigellosis","05131","kegg","ACTB"
"Shigellosis","05131","kegg","NOD2"
"Shigellosis","05131","kegg","CRKL"
"Shigellosis","05131","kegg","MAPK1"
"Shigellosis","05131","kegg","RHOG"
"Shigellosis","05131","kegg","MAD2L2"
"Shigellosis","05131","kegg","RELA"
"Shigellosis","05131","kegg","PFN3"
"Shigellosis","05131","kegg","IKBKB"
"Shigellosis","05131","kegg","MAPK11"
"Shigellosis","05131","kegg","WASF1"
"Shigellosis","05131","kegg","ELMO3"
"Shigellosis","05131","kegg","ARPC3"
"Shigellosis","05131","kegg","CTTN"
"Shigellosis","05131","kegg","MAPK9"
"Shigellosis","05131","kegg","MAPK13"
"Shigellosis","05131","kegg","ELMO1"
"Shigellosis","05131","kegg","DIAPH1"
"Shigellosis","05131","kegg","NFKB1"
"Shigellosis","05131","kegg","RAC1"
"Shigellosis","05131","kegg","U2AF1"
"Shigellosis","05131","kegg","ITGB1"
"Shigellosis","05131","kegg","ARPC4"
"Shigellosis","05131","kegg","ELMO2"
"Shigellosis","05131","kegg","ACTG1"
"Shigellosis","05131","kegg","DOCK1"
"Shigellosis","05131","kegg","ROCK2"
"Shigellosis","05131","kegg","ARPC2"
"Shigellosis","05131","kegg","NFKBIA"
"Shigellosis","05131","kegg","MAPK8"
"Shigellosis","05131","kegg","FBXW11"
"Shigellosis","05131","kegg","ARPC5L"
"Shigellosis","05131","kegg","ABL1"
"Shigellosis","05131","kegg","MAPK14"
"Shigellosis","05131","kegg","CD44"
"Shigellosis","05131","kegg","ARPC5"
"Shigellosis","05131","kegg","WAS"
"Shigellosis","05131","kegg","MAPK10"
"Shigellosis","05131","kegg","MAPK12"
"Shigellosis","05131","kegg","MAPK3"
"Shigellosis","05131","kegg","ARPC1A"
"Shigellosis","05131","kegg","ITGA5"
"Shigellosis","05131","kegg","SRC"
"Shigellosis","05131","kegg","PFN1"
"Shigellosis","05131","kegg","IL8"
"Shigellosis","05131","kegg","CDC42"
"Shigellosis","05131","kegg","WASL"
"Shigellosis","05131","kegg","ROCK1"
"Shigellosis","05131","kegg","IKBKG"
"Shigellosis","05131","kegg","PFN2"
"Shigellosis","05131","kegg","NFKBIB"
"Shigellosis","05131","kegg","ARPC1B"
"Shigellosis","05131","kegg","CHUK"
"Shigellosis","05131","kegg","CCK"
"Shigellosis","05131","kegg","VCL"
"Shigellosis","05131","kegg","UBE2D2"
"Shigellosis","05131","kegg","ATG5"
"Shigellosis","05131","kegg","HCLS1"
"Shigellosis","05131","kegg","U2AF1L4"
"Shigellosis","05131","kegg","BTRC"
"Aminoacyl-tRNA biosynthesis","00970","kegg","SARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","QARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","TARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","IARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","AARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","VARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","MARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","AARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","HARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","IARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","WARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","LARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","MET"
"Aminoacyl-tRNA biosynthesis","00970","kegg","CARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","SLA"
"Aminoacyl-tRNA biosynthesis","00970","kegg","GATC"
"Aminoacyl-tRNA biosynthesis","00970","kegg","VARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","EARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","TARSL2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","DARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","EPRS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","LARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","WARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","PSTK"
"Aminoacyl-tRNA biosynthesis","00970","kegg","SMAD1"
"Aminoacyl-tRNA biosynthesis","00970","kegg","SEPSECS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","NARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","MARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","DARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","FARSA"
"Aminoacyl-tRNA biosynthesis","00970","kegg","YARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","YARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","MTFMT"
"Aminoacyl-tRNA biosynthesis","00970","kegg","QRSL1"
"Aminoacyl-tRNA biosynthesis","00970","kegg","RARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","TARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","PET112L"
"Aminoacyl-tRNA biosynthesis","00970","kegg","FARSB"
"Aminoacyl-tRNA biosynthesis","00970","kegg","PARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","HARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","NARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","GARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","FARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","RARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","CARS2"
"Aminoacyl-tRNA biosynthesis","00970","kegg","KARS"
"Aminoacyl-tRNA biosynthesis","00970","kegg","SARS2"
"TNF signaling pathway","04668","kegg","MAPK1"
"TNF signaling pathway","04668","kegg","CREB3L3"
"TNF signaling pathway","04668","kegg","CFLAR"
"TNF signaling pathway","04668","kegg","MAPK10"
"TNF signaling pathway","04668","kegg","CSF1"
"TNF signaling pathway","04668","kegg","CASP10"
"TNF signaling pathway","04668","kegg","CREB3L2"
"TNF signaling pathway","04668","kegg","CXCL10"
"TNF signaling pathway","04668","kegg","MAP3K5"
"TNF signaling pathway","04668","kegg","CXCL1"
"TNF signaling pathway","04668","kegg","NOD2"
"TNF signaling pathway","04668","kegg","PIK3R2"
"TNF signaling pathway","04668","kegg","PTGS2"
"TNF signaling pathway","04668","kegg","CHUK"
"TNF signaling pathway","04668","kegg","LIF"
"TNF signaling pathway","04668","kegg","MLKL"
"TNF signaling pathway","04668","kegg","JAG1"
"TNF signaling pathway","04668","kegg","NFKBIA"
"TNF signaling pathway","04668","kegg","HGF"
"TNF signaling pathway","04668","kegg","MAP3K14"
"TNF signaling pathway","04668","kegg","MMP9"
"TNF signaling pathway","04668","kegg","MAP2K3"
"TNF signaling pathway","04668","kegg","CXCL5"
"TNF signaling pathway","04668","kegg","TRAF3"
"TNF signaling pathway","04668","kegg","MMP14"
"TNF signaling pathway","04668","kegg","VCAM1"
"TNF signaling pathway","04668","kegg","MAP2K4"
"TNF signaling pathway","04668","kegg","CREB5"
"TNF signaling pathway","04668","kegg","BAG4"
"TNF signaling pathway","04668","kegg","IL6"
"TNF signaling pathway","04668","kegg","AKT3"
"TNF signaling pathway","04668","kegg","EDN1"
"TNF signaling pathway","04668","kegg","MAPK8"
"TNF signaling pathway","04668","kegg","MAPK13"
"TNF signaling pathway","04668","kegg","MAPK9"
"TNF signaling pathway","04668","kegg","FADD"
"TNF signaling pathway","04668","kegg","TAB3"
"TNF signaling pathway","04668","kegg","IL15"
"TNF signaling pathway","04668","kegg","CXCL3"
"TNF signaling pathway","04668","kegg","LTA"
"TNF signaling pathway","04668","kegg","CREB3L4"
"TNF signaling pathway","04668","kegg","CCL5"
"TNF signaling pathway","04668","kegg","IKBKG"
"TNF signaling pathway","04668","kegg","CX3CL1"
"TNF signaling pathway","04668","kegg","MAP3K8"
"TNF signaling pathway","04668","kegg","PIK3CB"
"TNF signaling pathway","04668","kegg","BCL3"
"TNF signaling pathway","04668","kegg","CASP8"
"TNF signaling pathway","04668","kegg","MAP3K7"
"TNF signaling pathway","04668","kegg","AKT2"
"TNF signaling pathway","04668","kegg","CXCL2"
"TNF signaling pathway","04668","kegg","TNFRSF1B"
"TNF signaling pathway","04668","kegg","RPS6KA5"
"TNF signaling pathway","04668","kegg","C7"
"TNF signaling pathway","04668","kegg","ATF4"
"TNF signaling pathway","04668","kegg","RIPK1"
"TNF signaling pathway","04668","kegg","FAS"
"TNF signaling pathway","04668","kegg","TAB2"
"TNF signaling pathway","04668","kegg","IL18R1"
"TNF signaling pathway","04668","kegg","NFKB1"
"TNF signaling pathway","04668","kegg","CREB3"
"TNF signaling pathway","04668","kegg","MAPK3"
"TNF signaling pathway","04668","kegg","TNFAIP3"
"TNF signaling pathway","04668","kegg","PIK3CD"
"TNF signaling pathway","04668","kegg","VEGFC"
"TNF signaling pathway","04668","kegg","RELA"
"TNF signaling pathway","04668","kegg","BIRC3"
"TNF signaling pathway","04668","kegg","ICAM1"
"TNF signaling pathway","04668","kegg","MAPK14"
"TNF signaling pathway","04668","kegg","FOS"
"TNF signaling pathway","04668","kegg","TRAF2"
"TNF signaling pathway","04668","kegg","IKBKB"
"TNF signaling pathway","04668","kegg","TNFRSF1A"
"TNF signaling pathway","04668","kegg","AKT1"
"TNF signaling pathway","04668","kegg","ATF6B"
"TNF signaling pathway","04668","kegg","SELE"
"TNF signaling pathway","04668","kegg","MAP2K7"
"TNF signaling pathway","04668","kegg","TRAF5"
"TNF signaling pathway","04668","kegg","CCL2"
"TNF signaling pathway","04668","kegg","CAP1"
"TNF signaling pathway","04668","kegg","COX2"
"TNF signaling pathway","04668","kegg","PIK3CA"
"TNF signaling pathway","04668","kegg","RPS6KA4"
"TNF signaling pathway","04668","kegg","IL1B"
"TNF signaling pathway","04668","kegg","CREB1"
"TNF signaling pathway","04668","kegg","PIK3R1"
"TNF signaling pathway","04668","kegg","ATF2"
"TNF signaling pathway","04668","kegg","JUNB"
"TNF signaling pathway","04668","kegg","TNF"
"TNF signaling pathway","04668","kegg","CASP7"
"TNF signaling pathway","04668","kegg","MAP2K1"
"TNF signaling pathway","04668","kegg","RIPK3"
"TNF signaling pathway","04668","kegg","CASP3"
"TNF signaling pathway","04668","kegg","MAPK12"
"TNF signaling pathway","04668","kegg","PGAM5"
"TNF signaling pathway","04668","kegg","MMP3"
"TNF signaling pathway","04668","kegg","MAPK11"
"TNF signaling pathway","04668","kegg","JUN"
"TNF signaling pathway","04668","kegg","DAB2IP"
"TNF signaling pathway","04668","kegg","CEBPB"
"TNF signaling pathway","04668","kegg","ITCH"
"TNF signaling pathway","04668","kegg","TRAF1"
"TNF signaling pathway","04668","kegg","CREB3L1"
"TNF signaling pathway","04668","kegg","BIRC2"
"TNF signaling pathway","04668","kegg","MAP2K6"
"TNF signaling pathway","04668","kegg","PIK3R3"
"TNF signaling pathway","04668","kegg","DNM1L"
"TNF signaling pathway","04668","kegg","TAB1"
"TNF signaling pathway","04668","kegg","TRADD"
"TNF signaling pathway","04668","kegg","SOCS3"
"Synthesis and degradation of ketone bodies","00072","kegg","HMGCLL1"
"Synthesis and degradation of ketone bodies","00072","kegg","ACAT1"
"Synthesis and degradation of ketone bodies","00072","kegg","HMGCS1"
"Synthesis and degradation of ketone bodies","00072","kegg","HMGCS2"
"Synthesis and degradation of ketone bodies","00072","kegg","BDH2"
"Synthesis and degradation of ketone bodies","00072","kegg","OXCT1"
"Synthesis and degradation of ketone bodies","00072","kegg","ACAT2"
"Synthesis and degradation of ketone bodies","00072","kegg","HMGCL"
"Synthesis and degradation of ketone bodies","00072","kegg","BDH1"
"Synthesis and degradation of ketone bodies","00072","kegg","OXCT2"
"Primary bile acid biosynthesis","00120","kegg","CYP27A1"
"Primary bile acid biosynthesis","00120","kegg","CYP46A1"
"Primary bile acid biosynthesis","00120","kegg","AMACR"
"Primary bile acid biosynthesis","00120","kegg","CH25H"
"Primary bile acid biosynthesis","00120","kegg","ACOX2"
"Primary bile acid biosynthesis","00120","kegg","CYP8B1"
"Primary bile acid biosynthesis","00120","kegg","ACOT8"
"Primary bile acid biosynthesis","00120","kegg","SLC27A5"
"Primary bile acid biosynthesis","00120","kegg","CYP39A1"
"Primary bile acid biosynthesis","00120","kegg","SCP2"
"Primary bile acid biosynthesis","00120","kegg","DBP"
"Primary bile acid biosynthesis","00120","kegg","CYP7B1"
"Primary bile acid biosynthesis","00120","kegg","HSD3B7"
"Primary bile acid biosynthesis","00120","kegg","HSD17B4"
"Ether lipid metabolism","00565","kegg","PLA2G12A"
"Ether lipid metabolism","00565","kegg","CEPT1"
"Ether lipid metabolism","00565","kegg","AGPAT9"
"Ether lipid metabolism","00565","kegg","PAFAH1B1"
"Ether lipid metabolism","00565","kegg","JMJD7-PLA2G4B"
"Ether lipid metabolism","00565","kegg","PLA2G2A"
"Ether lipid metabolism","00565","kegg","AGPS"
"Ether lipid metabolism","00565","kegg","PLD3"
"Ether lipid metabolism","00565","kegg","PLB1"
"Ether lipid metabolism","00565","kegg","PLA2G5"
"Ether lipid metabolism","00565","kegg","PLA2G3"
"Ether lipid metabolism","00565","kegg","PAFAH2"
"Ether lipid metabolism","00565","kegg","PPAP2B"
"Ether lipid metabolism","00565","kegg","UGT8"
"Ether lipid metabolism","00565","kegg","LPCAT4"
"Ether lipid metabolism","00565","kegg","PLA2G4A"
"Ether lipid metabolism","00565","kegg","LPCAT2"
"Ether lipid metabolism","00565","kegg","PLA2G4D"
"Ether lipid metabolism","00565","kegg","CHPT1"
"Ether lipid metabolism","00565","kegg","PLD4"
"Ether lipid metabolism","00565","kegg","PLA2G16"
"Ether lipid metabolism","00565","kegg","PLA2G4C"
"Ether lipid metabolism","00565","kegg","PLA2G12B"
"Ether lipid metabolism","00565","kegg","GAL3ST1"
"Ether lipid metabolism","00565","kegg","PLA2G2E"
"Ether lipid metabolism","00565","kegg","PLA2G2C"
"Ether lipid metabolism","00565","kegg","PLA2G2F"
"Ether lipid metabolism","00565","kegg","PAFAH1B3"
"Ether lipid metabolism","00565","kegg","PLA2G6"
"Ether lipid metabolism","00565","kegg","PLA2G1B"
"Ether lipid metabolism","00565","kegg","ENPP6"
"Ether lipid metabolism","00565","kegg","ENPP2"
