"","source_id","metabolites","ontology"
"1752530","kegg:C07543","Ergonovine","Blood"
"1752690","kegg:C07660","Levofloxacin","Blood"
"1753283","kegg:C00534","Pyridoxamine","Blood"
"1753306","kegg:C08302","Dimethyltryptamine","Blood"
"1753442","kegg:C08110","Cefdinir","Blood"
"1753598","kegg:C00503","Erythritol","Blood"
"1753999","kegg:C07042","Hydromorphone","Blood"
"1758600","kegg:C11168","Tetrabenazine","Blood"
"1758614","kegg:C16604","2-Hydroxyiminostilbene","Blood"
"1760120","kegg:C06846","Benzatropine","Blood"
"1760749","kegg:C06823","Amiodarone","Blood"
"1760896","kegg:C00599","Cholestenone","Blood"
"1761333","kegg:C14606","11-Hydroxyandrosterone","Blood"
"1763323","kegg:C00774","Phloretin","Blood"
"1765122","kegg:C02360","2-Hydroxyadipic acid","Blood"
"1765569","kegg:C07766","Polythiazide","Blood"
"1766308","kegg:C07827","Butabarbital","Blood"
"1766505","kegg:C00029","Uridine diphosphate glucose","Blood"
"1767230","kegg:C07564","Ropinirole","Blood"
"1767887","kegg:C00300","Creatine","Blood"
"1768933","kegg:C06896","Cefapirin","Blood"
"1769370","kegg:C20387","Biotinsulfone","Blood"
"1769526","kegg:C16550","3-Dechloroethylifosfamide","Blood"
"1769832","kegg:C06426","Gamma-Linolenic acid","Blood"
"1770147","kegg:C00840","Vasopressin","Blood"
"1856290","kegg:C13861","DG(16:0/18:1(9Z)/0:0)","Blood"
"1859167","kegg:C00165","DG(16:0/20:0/0:0)","Blood"
"1880607","kegg:C02530","CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)","Blood"
"1880982","kegg:C04737","Trihexosylceramide (d18:1/9Z-1","Blood"
"1881334","kegg:C19915","Pyrazin-2-carboxylic acid","Blood"
"1881821","kegg:C00416","LysoPA(18:1(9Z)/0:0)","Blood"
"1887708","kegg:C03033","Tyramine glucuronide","Blood"
"1888461","kegg:C11136","Etiocholanolone glucuronide","Blood"
"1898005","kegg:C00550","SM(d18:0/14:0)","Blood"
"1899338","kegg:C05791","D-Urobilinogen","Blood"
"1899437","kegg:C08090","Dienestrol","Blood"
"1899544","kegg:C07438","Phentermine","Blood"
"1899558","kegg:C00597","3-Phosphoglyceric acid","Blood"
"1900323","kegg:C01120","Sphinganine 1-phosphate","Blood"
"1900603","kegg:C00475","Cytidine","Blood"
"1900652","kegg:C13827","Chloroform","Blood"
"1900943","kegg:D00673","Ranitidine","Blood"
"1900966","kegg:C07549","Doxacurium chloride","Blood"
"1901050","kegg:C00518","Hyaluronic acid","Blood"
"1901089","kegg:C11231","Taxotere","Blood"
"1901866","kegg:C03088","5-Hydroxymethyluracil","Blood"
"1902095","kegg:C07548","Atracurium","Blood"
"1902277","kegg:C01575","Ephedrine","Blood"
"1903163","kegg:C07743","Moricizine","Blood"
"1903478","kegg:C00089","Furan","Blood"
"1903902","kegg:C07504","Zonisamide","Blood"
"1903953","kegg:C04853","20-Hydroxy-leukotriene B4","Blood"
"1904001","kegg:C08080","Terconazole","Blood"
"1904244","kegg:C06837","Azathioprine","Blood"
"1904266","kegg:C11378","Coenzyme Q10","Blood"
"1904340","kegg:C00141","Alpha-ketoisovaleric acid","Blood"
"1904440","kegg:C00474","Ribitol","Blood"
"1904559","kegg:C06456","Foscarnet","Blood"
"1905167","kegg:C02198","Thromboxane","Blood"
"1906708","kegg:C08821","Avenasterol","Blood"
"1906840","kegg:C10468","3,4-Di-O-caffeoylquinic acid","Blood"
"1907315","kegg:C01829","Thyroxine","Blood"
"1907447","kegg:C07465","Remikiren","Blood"
"1907572","kegg:C01673","Calcitriol","Blood"
"1907690","kegg:C07915","Metipranolol","Blood"
"1908091","kegg:C00631","2-Phospho-D-glyceric acid","Blood"
"1908577","kegg:C00090","Pyrocatechol","Blood"
"1908858","kegg:C00431","5-Aminopentanoic acid","Blood"
"1909365","kegg:C07124","Tamsulosin","Blood"
"1909415","kegg:C15471","Bismuth","Blood"
"1909548","kegg:C00101","Tetrahydrofolic acid","Blood"
"1909657","kegg:C15482","Bacitracin","Blood"
"1909717","kegg:C05634","5-Hydroxyindoleacetaldehyde","Blood"
"1910606","kegg:C02465","Liothyronine","Blood"
"1910849","kegg:C05966","15(S)-HPETE","Blood"
"1910980","kegg:C00061","Flavin Mononucleotide","Blood"
"1911360","kegg:C05829","Carglumic acid","Blood"
"1911429","kegg:C00847","4-Pyridoxic acid","Blood"
"1911564","kegg:C00121","D-Ribose","Blood"
"1911830","kegg:C07544","Ergotamine","Blood"
"1911856","kegg:C20155","8-Hydroxyguanine","Blood"
"1911940","kegg:C01161","3,4-Dihydroxybenzeneacetic aci","Blood"
"1912574","kegg:C01384","Maleic acid","Blood"
"1913408","kegg:C00305","Magnesium","Blood"
"1913505","kegg:C07408","Protriptyline","Blood"
"1913544","kegg:C07713","Nitrendipine","Blood"
"1913567","kegg:C14869","Trichloroethanol glucuronide","Blood"
"1913614","kegg:C05958","Delta-12-Prostaglandin J2","Blood"
"1914856","kegg:C05470","Tetrahydrocortisone;","Blood"
"1914928","kegg:C00811","4-Hydroxycinnamic acid","Blood"
"1914974","kegg:C07450","Detomidine","Blood"
"1915534","kegg:C00114","Choline","Blood"
"1915764","kegg:C00237","Carbon monoxide","Blood"
"1915995","kegg:C07666","Dapsone","Blood"
"1916264","kegg:C07486","Nordiazepam","Blood"
"1916579","kegg:C06151","Levoinositol","Blood"
"1916699","kegg:C07446","Isonicotinic acid","Blood"
"1917744","kegg:C08059","Rifapentine","Blood"
"1917767","kegg:C02191","Protoporphyrin IX","Blood"
"1917816","kegg:C00007","Oxygen","Blood"
"1918289","kegg:C16525","Eicosadienoic acid","Blood"
"1918302","kegg:C05842","N1-Methyl-2-pyridone-5-carboxa","Blood"
"1919128","kegg:C05122","Taurocholic acid","Blood"
"1919260","kegg:C02078","Spectinomycin","Blood"
"1919489","kegg:C00532","L-Arabitol","Blood"
"1919638","kegg:C01924","Homo-L-arginine","Blood"
"1919747","kegg:C16659","2-Ethylidene-1,5-dimethyl-3,3-","Blood"
"1919916","kegg:C01933","L-Norleucine","Blood"
"1920377","kegg:C12864","Tamibarotene","Blood"
"1920488","kegg:C05476","Tetrahydrocorticosterone","Blood"
"1920536","kegg:C16619","6-Thioguanosine monophosphate","Blood"
"1920683","kegg:C06976","Edrophonium","Blood"
"1921688","kegg:C05443","Cholecalciferol","Blood"
"1922198","kegg:C08071","Naftifine","Blood"
"1922746","kegg:C07315","Sulfamethoxazole","Blood"
"1922818","kegg:C05942","Pyrrole-2-carboxylic acid","Blood"
"1922865","kegg:C07765","Methyclothiazide","Blood"
"1922892","kegg:C13637","4-Ethylphenol","Blood"
"1922951","kegg:C06313","Biopterin","Blood"
"1923389","kegg:C00193","Benzaldehyde","Blood"
"1923403","kegg:C06932","Cyclopentolate","Blood"
"1923473","kegg:C01042","N-Acetyl-L-aspartic acid","Blood"
"1923678","kegg:C07881","Dyclonine","Blood"
"1923704","kegg:C07714","Isosorbide Mononitrate","Blood"
"1923850","kegg:C00182","Glycogen","Blood"
"1923863","kegg:C00120","Biotin","Blood"
"1924431","kegg:C19368","Chromium","Blood"
"1924505","kegg:C00791","Creatinine","Blood"
"1924589","kegg:C07311","Stanozolol","Blood"
"1924640","kegg:C14204","2-hydroxyflutamide","Blood"
"1925439","kegg:C00027","Hydrogen peroxide","Blood"
"1925927","kegg:C00180","Benzoic acid","Blood"
"1926046","kegg:C03080","4-Hydroxyphenyl-2-propionic ac","Blood"
"1926155","kegg:C00388","Histamine","Blood"
"1926398","kegg:C06916","Clofibrate","Blood"
"1926607","kegg:C00011","Carbon dioxide","Blood"
"1926750","kegg:C08645","Methylsuccinic acid","Blood"
"1927045","kegg:C16548","N-Didesmethyl-tamoxifen","Blood"
"1928245","kegg:C06887","Cefoxitin","Blood"
"1928563","kegg:C00864","(R)-pantothenic Acid","Blood"
"1928643","kegg:C00451","D-threo-Isocitric acid","Blood"
"1928680","kegg:C04548","p-Synephrine","Blood"
"1928888","kegg:C13650","Debrisoquine","Blood"
"1929433","kegg:C00158","Citric acid","Blood"
"1929774","kegg:C12138","Delphinidin 3-glucoside","Blood"
"1929956","kegg:C06873","Carmustine","Blood"
"1930079","kegg:C05480","3a-Hydroxy-5b-pregnane-20-one","Blood"
"1930100","kegg:C02592","Lithocholyltaurine","Blood"
"1930103","kegg:C00094","Sulfite","Blood"
"1930369","kegg:C01888","Aminoacetone","Blood"
"1930769","kegg:C16572","3-Hydroxymonoethylglycinexylid","Blood"
"1930974","kegg:C14319","Rimonabant","Blood"
"1931245","kegg:C05466","Chenodeoxycholic acid glycine ","Blood"
"1931267","kegg:C01382","Iodine","Blood"
"1931414","kegg:C01164","7-Dehydrocholesterol","Blood"
"1931666","kegg:C00159","D-Mannose","Blood"
"1931678","kegg:C07250","Nafcillin","Blood"
"1931875","kegg:C07631","Proguanil","Blood"
"1931901","kegg:C07069","Levallorphan","Blood"
"1932153","kegg:C01907","Daunorubicin","Blood"
"1932457","kegg:C00392","Mannitol","Blood"
"1932991","kegg:C13550","24-Hydroxycholesterol","Blood"
"1933672","kegg:C07309","Sotalol","Blood"
"1933819","kegg:C16635","5'-Deoxy-5-fluorocytidine","Blood"
"1933840","kegg:C00670","Glycerophosphocholine","Blood"
"1934143","kegg:C11221","Leucyl-phenylalanine","Blood"
"1934302","kegg:C05141","Estriol","Blood"
"1934425","kegg:C16365","5-Acetylamino-6-formylamino-3-","Blood"
"1934741","kegg:C00123","L-Leucine","Blood"
"1934763","kegg:C07324","Omeprazole","Blood"
"1934776","kegg:C16641","Irinotecan","Blood"
"1934945","kegg:C08068","Econazole","Blood"
"1935105","kegg:C10443","Curcumin","Blood"
"1935347","kegg:C02954","6-Aminopenicillanic acid","Blood"
"1935371","kegg:C05011","4-Hydroxytamoxifen","Blood"
"1935953","kegg:C07163","Methadone","Blood"
"1936465","kegg:C00523","Androsterone","Blood"
"1936683","kegg:C01019","L-Fucose","Blood"
"1937044","kegg:C07079","Lomustine","Blood"
"1937118","kegg:C07429","Phenazopyridine","Blood"
"1937168","kegg:C01029","N8-Acetylspermidine","Blood"
"1937192","kegg:C12389","Plicamycin","Blood"
"1937461","kegg:C06439","Prostaglandin E3","Blood"
"1937630","kegg:C07805","Formoterol","Blood"
"1938089","kegg:C00386","Carnosine","Blood"
"1938126","kegg:C07062","Ketorolac","Blood"
"1938237","kegg:C16602","3-Hydroxycarbamazepine","Blood"
"1938724","kegg:C11284","3-Indolebutyric acid","Blood"
"1938830","kegg:C16623","Isonicotinylglycine","Blood"
"1938976","kegg:C06834","Atorvastatin","Blood"
"1939013","kegg:C00381","Dolichol-20","Blood"
"1939218","kegg:C06804","Acetaminophen;","Blood"
"1939450","kegg:C06469","Neuraminic acid","Blood"
"1939500","kegg:C06180","Anabasine","Blood"
"1939741","kegg:C06921","Clorazepate","Blood"
"1939898","kegg:C07208","m-Xylene","Blood"
"1939910","kegg:C13707","Lubiprostone","Blood"
"1940044","kegg:C15981","Alpha-Cryptoxanthin","Blood"
"1940129","kegg:C00283","Hydrogen sulfide","Blood"
"1940249","kegg:C00097","L-Cysteine","Blood"
"1940398","kegg:C06574","Ampicillin","Blood"
"1940713","kegg:C02838","L-Octanoylcarnitine","Blood"
"1941613","kegg:C07758","Bendroflumethiazide","Blood"
"1942641","kegg:C07336","Quazepam","Blood"
"1942787","kegg:C08114","Cefpodoxime","Blood"
"1942799","kegg:C01529","Selenium","Blood"
"1942947","kegg:C06806","Acetohexamide","Blood"
"1943239","kegg:C07440","Phenylbutazone","Blood"
"1943322","kegg:C00020","Adenosine monophosphate","Blood"
"1943894","kegg:C01342","Ammonium","Blood"
"1943917","kegg:C06948","Diazepam","Blood"
"1944177","kegg:C08067","Butenafine","Blood"
"1944451","kegg:C00149","L-Malic acid","Blood"
"1944511","kegg:C08163","Letrozole","Blood"
"1944744","kegg:C00612","N1-Acetylspermidine","Blood"
"1944766","kegg:C05769","Coproporphyrin I","Blood"
"1945058","kegg:C07953","Chlorprothixene","Blood"
"1945228","kegg:C07539","Aminophenazone","Blood"
"1945351","kegg:C07192","Methotrimeprazine","Blood"
"1945689","kegg:C16561","Monoethylglycinexylidide","Blood"
"1945981","kegg:C04242","5-Fluorodeoxyuridine monophosp","Blood"
"1946101","kegg:C19891","1D-chiro-Inositol;","Blood"
"1946323","kegg:C07041","Hydrochlorothiazide","Blood"
"1946419","kegg:C00415","Dihydrofolic acid","Blood"
"1946638","kegg:C07224","Milrinone","Blood"
"1947013","kegg:C01551","Allantoin","Blood"
"1947172","kegg:C14497","6beta-Hydroxytestosterone","Blood"
"1947342","kegg:C06879","Cefamandole","Blood"
"1947753","kegg:C06894","Cefuroxime","Blood"
"1948424","kegg:C00181","D-Xylose","Blood"
"1948446","kegg:C11230","Epirubicin","Blood"
"1948675","kegg:C07225","Minocycline","Blood"
"1949234","kegg:C00140","N-Acetyl-D-glucosamine","Blood"
"1949331","kegg:C07413","Paramethasone","Blood"
"1949889","kegg:C00188","L-Threonine","Blood"
"1950156","kegg:C06563","Genistein","Blood"
"1950181","kegg:C08086","Amprenavir","Blood"
"1950691","kegg:C00009","Phosphate","Blood"
"1951461","kegg:C00745","L(-)-Nicotine","Blood"
"1951629","kegg:C05984","2-Hydroxybutyric acid","Blood"
"1952002","kegg:C14819","Fe3+","Blood"
"1952317","kegg:C01817","DL-Homocystine","Blood"
"1953070","kegg:C11613","Polymyxin B Sulfate","Blood"
"1954333","kegg:C02197","Testolactone","Blood"
"1954405","kegg:C06423","Caprylic acid","Blood"
"1954745","kegg:C13244","Antipyrine","Blood"
"1955709","kegg:C00082","L-Tyrosine","Blood"
"1956008","kegg:C07346","Oxandrolone","Blood"
"1956203","kegg:C07115","Mechlorethamine","Blood"
"1956810","kegg:C05959","11b-PGF2a","Blood"
"1958219","kegg:C07931","Chlorzoxazone","Blood"
"1958400","kegg:C15484","Alloepipregnanolone","Blood"
"1958412","kegg:C06889","Ceftazidime","Blood"
"1958463","kegg:C18043","Cholesterol sulfate","Blood"
"1958485","kegg:C07418","Penicillamine","Blood"
"1958510","kegg:C16741","5-Hydroxylysine","Blood"
"1958546","kegg:C07326","1,5-Anhydrosorbitol","Blood"
"1958582","kegg:C15226","Thallium","Blood"
"1959019","kegg:C00374","Heparin","Blood"
"1959141","kegg:C00519","Hypotaurine","Blood"
"1959153","kegg:C00777","9,13-cis-Retinoate","Blood"
"1959384","kegg:C07040","Hydralazine","Blood"
"1959553","kegg:C16625","Isoniazid alpha-ketoglutaric a","Blood"
"1959773","kegg:C00106","Uracil","Blood"
"1960038","kegg:C00135","L-Histidine","Blood"
"1960121","kegg:C04671","13,14-Dihydro-15-keto-PGE2","Blood"
"1960158","kegg:C05028","Norethindrone","Blood"
"1960499","kegg:C06662","Clavulanate","Blood"
"1960695","kegg:C07643","4-Hydroxycyclophosphamide","Blood"
"1960754","kegg:C00473","Vitamin A","Blood"
"1960877","kegg:C12695","Difluprednate","Blood"
"1960938","kegg:C00202","Isoflurophate","Blood"
"1960997","kegg:C01779","Albendazole","Blood"
"1961009","kegg:C14826","12,13-EpOME","Blood"
"1961372","kegg:C16554","4-Ketoifosfamide","Blood"
"1961411","kegg:C00296","Quinate;","Blood"
"1961618","kegg:C07634","Halofantrine","Blood"
"1961713","kegg:C06956","Digoxin","Blood"
"1961812","kegg:C08127","Paricalcitol","Blood"
"1962007","kegg:C06770","Dactinomycin","Blood"
"1962054","kegg:C07699","Nisoldipine","Blood"
"1962202","kegg:C07383","Proparacaine","Blood"
"1962251","kegg:C06142","1-Butanol","Blood"
"1962575","kegg:C00853","Cob(I)alamin","Blood"
"1962614","kegg:C05290","19-Hydroxyandrost-4-ene-3,17-d","Blood"
"1962880","kegg:C06502","FAPy-adenine","Blood"
"1963145","kegg:C00076","Calcium","Blood"
"1963291","kegg:C07767","Trichlormethiazide","Blood"
"1963328","kegg:C05951","Leukotriene D4","Blood"
"1963620","kegg:C07201","Vinblastine","Blood"
"1963730","kegg:C11004","2,6-Dimethylaniline","Blood"
"1963898","kegg:C07053","Isoetharine","Blood"
"1963900","kegg:C06895","Cephalexin","Blood"
"1963926","kegg:C08010","Dezocine","Blood"
"1963959","kegg:C00086","Urea","Blood"
"1964142","kegg:C04805","5-HETE","Blood"
"1964457","kegg:C02067","Pseudouridine","Blood"
"1964674","kegg:C06809","Acetylcysteine","Blood"
"1965051","kegg:C07829","Methylphenobarbital","Blood"
"1965135","kegg:C00252","Isomaltose","Blood"
"1965733","kegg:C07970","Ivermectin","Blood"
"1966597","kegg:C00099","Beta-Alanine","Blood"
"1966884","kegg:C05587","3-Methoxytyramine","Blood"
"1966912","kegg:C05282","gamma-Glutamylglutamic acid","Blood"
"1966933","kegg:C01912","Erythromycin","Blood"
"1966935","kegg:C07314","Sucralfate","Blood"
"1967345","kegg:C06624","Oxytetracycline","Blood"
"1967540","kegg:C07844","Methohexital","Blood"
"1967543","kegg:C00088","Nitrite","Blood"
"1967566","kegg:C17662","Isoursodeoxycholic acid","Blood"
"1967669","kegg:C01697","Galactitol","Blood"
"1967696","kegg:C16608","N-Desmethylcitalopram","Blood"
"1967716","kegg:C15787","Campestanol;","Blood"
"1967731","kegg:C06819","Amifostine","Blood"
"1967748","kegg:C03413","Diacetylspermine","Blood"
"1967760","kegg:C08159","Anastrozole","Blood"
"1967780","kegg:C06861","Risperidone","Blood"
"1967803","kegg:C06001","(S)-3-Hydroxyisobutyric acid","Blood"
"1967813","kegg:C01608","Piroxicam","Blood"
"1967872","kegg:C04730","Ganglioside GM3 (d18:1/12:0)","Blood"
"1967905","kegg:C07129","Terbutaline","Blood"
"1968049","kegg:C14034","Piperacillin","Blood"
"1968067","kegg:C05335","Selenomethionine","Blood"
"1968076","kegg:C08367","Vaccenic acid","Blood"
"1968111","kegg:C00042","Succinic acid","Blood"
"1968148","kegg:C14782","11,12,15-THETA","Blood"
"1968165","kegg:C00346","O-Phosphoethanolamine","Blood"
"1968441","kegg:C07546","Succinylcholine","Blood"
"1968459","kegg:C15441","CE(18:2(9Z,12Z))","Blood"
"1968572","kegg:C01126","Farnesol","Blood"
"1968658","kegg:C12141","Peonidin-3-glucoside","Blood"
"1968795","kegg:C06877","Cefaclor","Blood"
"1968853","kegg:C08070","Miconazole","Blood"
"1968901","kegg:C16658","2-Propylglutaric acid","Blood"
"1968961","kegg:C19910","N-Acetylneuraminic acid","Blood"
"1969015","kegg:C16360","3,7-Dimethyluricacid","Blood"
"1969070","kegg:C07274","Nortriptyline","Blood"
"1969144","kegg:C12270","N-Acetylaspartylglutamic acid","Blood"
"1969312","kegg:C08278","Suberic acid","Blood"
"1969377","kegg:C06818","Amantadine","Blood"
"1969409","kegg:C00703","Mercury","Blood"
"1969429","kegg:C00152","L-Asparagine","Blood"
"1969433","kegg:C06930","Cyclizine","Blood"
"1969459","kegg:C00330","Deoxyguanosine","Blood"
"1969480","kegg:C00674","Androstanedione","Blood"
"1969572","kegg:C05860","Beta-1,4-D-Mannosylchitobiosyl","Blood"
"1969654","kegg:C06803","Acebutolol","Blood"
"1969752","kegg:C16614","6-Methylmercaptopurine","Blood"
"1969815","kegg:C07995","Magnesium salicylate","Blood"
"1969824","kegg:C16618","6-Thioxanthine 5'-monophosphat","Blood"
"1969917","kegg:C07809","Flavoxate","Blood"
"1969948","kegg:C07052","Ipratropium bromide","Blood"
"1969991","kegg:C03227","L-3-Hydroxykynurenine","Blood"
"1969999","kegg:C02794","Hydroxykynurenine","Blood"
"1970017","kegg:C06697","Arsenite","Blood"
"1970023","kegg:C06269","Arsenic","Blood"
"1970066","kegg:C07064","Lactulose","Blood"
"1970199","kegg:C01137","S-Adenosylmethioninamine","Blood"
"1970248","kegg:C00740","D-Serine","Blood"
"1970273","kegg:C03406","Argininosuccinic acid","Blood"
"1970442","kegg:C07128","Meperidine","Blood"
"1970612","kegg:C00354","Fructose 1,6-bisphosphate","Blood"
"1970643","kegg:C16582","2-Hydroxyfelbamate","Blood"
"1970651","kegg:C06810","Aciclovir","Blood"
"1970729","kegg:C05198","5'-Deoxyadenosine","Blood"
"1970737","kegg:C02727","N6-Acetyl-L-lysine","Blood"
"1970760","kegg:C00546","Pyruvaldehyde","Blood"
"1970780","kegg:C07653","Flutamide","Blood"
"1970787","kegg:C07872","Diphenoxylate","Blood"
"1970808","kegg:C07759","Benzthiazide","Blood"
"1970867","kegg:C07807","Pirbuterol","Blood"
"1971013","kegg:C06730","4-Methylcatechol","Blood"
"1971067","kegg:C00989","4-Hydroxybutyric acid","Blood"
"1971084","kegg:C02538","Estrone sulfate","Blood"
"1971413","kegg:C07425","Pergolide","Blood"
"1971425","kegg:C02165","Leukotriene B4","Blood"
"1971767","kegg:C06843","Benazepril","Blood"
"1971936","kegg:C07813","Beclometasone dipropionate","Blood"
"1972092","kegg:C00160","Glycolic acid","Blood"
"1972195","kegg:C03017","Propionylcarnitine","Blood"
"1972420","kegg:C00695","Cholic acid","Blood"
"1972882","kegg:C10447","3,4-Dihydroxyhydrocinnamic aci","Blood"
"1972949","kegg:C12147","O-Phosphothreonine","Blood"
"1973149","kegg:C00487","Carnitine;","Blood"
"1973529","kegg:c0338","LPS core","Blood"
"1973651","kegg:C06262","Phosphorus","Blood"
"1973701","kegg:C13809","8-Isoprostane","Blood"
"1973854","kegg:C05964","11-Dehydro-thromboxane B2","Blood"
"1973939","kegg:C07519","Desflurane","Blood"
"1974170","kegg:C01514","Luteolin","Blood"
"1974240","kegg:C06425","Arachidic acid","Blood"
"1974365","kegg:C01607","Phytanic acid","Blood"
"1974777","kegg:C07457","Vaporole","Blood"
"1974863","kegg:C07044","Hydroxyurea","Blood"
"1974949","kegg:C13828","Cervonoyl ethanolamide","Blood"
"1975214","kegg:C06999","Fexofenadine","Blood"
"1975382","kegg:C06940","Deferoxamine","Blood"
"1975522","kegg:C06475","Prostaglandin F1a","Blood"
"1975578","kegg:C00366","Uric acid","Blood"
"1975604","kegg:C06153","scyllo-Inositol","Blood"
"1975697","kegg:C06150","D-chiro-inositol","Blood"
"1975740","kegg:C08022","Sufentanil","Blood"
"1975937","kegg:C07313","Streptozocin","Blood"
"1976232","kegg:C00166","Phenylpyruvic acid","Blood"
"1976348","kegg:C06098","Zeaxanthin","Blood"
"1976403","kegg:C06104","Adipic acid","Blood"
"1976524","kegg:C02336","D-Fructose","Blood"
"1976574","kegg:C12621","m-Coumaric acid","Blood"
"1976623","kegg:C06835","Atovaquone","Blood"
"1976939","kegg:C11713","2-Naphthol","Blood"
"1977106","kegg:C16366","5-Acetylamino-6-amino-3-methyl","Blood"
"1977132","kegg:C05138","17a-Hydroxypregnenolone","Blood"
"1977231","kegg:C00299","Uridine","Blood"
"1977462","kegg:C06427","Alpha-Linolenic acid","Blood"
"1977595","kegg:C04483","Deoxycholic acid","Blood"
"1977642","kegg:C07662","Sparfloxacin","Blood"
"1977647","kegg:C06906","Chlorpromazine","Blood"
"1977692","kegg:C11289","17-beta-estradiol 3-sulfate-17","Blood"
"1977768","kegg:C16513","Docosapentaenoic acid","Blood"
"1977811","kegg:C03401","2,3-Diaminopropionic acid","Blood"
"1977847","kegg:C14808","Hepoxilin A3","Blood"
"1977944","kegg:C01481","Caffeic acid","Blood"
"1978033","kegg:C02917","(S)-Propane-1,2-diol","Blood"
"1978126","kegg:C06980","Esmolol","Blood"
"1978191","kegg:C05960","15-Keto-prostaglandin F2a","Blood"
"1978216","kegg:C03205","Deoxycorticosterone","Blood"
"1978299","kegg:C00197","(2R)-2-Hydroxy-3-(phosphonatoo","Blood"
"1978358","kegg:C03917","Dihydrotestosterone","Blood"
"1978393","kegg:C07501","Felbamate","Blood"
"1978430","kegg:C00606","3-Sulfinato-L-alaninate","Blood"
"1978587","kegg:C00207","Acetone","Blood"
"1978816","kegg:C06941","Delavirdine","Blood"
