"source_id","metabolites","ontology"
"hmdb:HMDB0009816","PI(18:0/20:4(8Z,11Z,14Z,17Z))","Blood"
"pubchem:53480249","PIP2(16:2(9Z,12Z)/22:3(10Z,13Z","Blood"
"hmdb:HMDB0010062","PIP2(18:0/18:1(11Z))","Blood"
"hmdb:HMDB0009932","PIP(16:0/20:4(8Z,11Z,14Z,17Z))","Blood"
"chemspider:24767835","PIP(18:0/20:3(5Z,8Z,11Z))","Blood"
"hmdb:HMDB0009805","PI(18:0/16:0)","Blood"
"pubchem:53480268","PIP2(18:1(11Z)/18:2(9Z,12Z))","Blood"
"hmdb:HMDB0009933","PIP(16:0/22:2(13Z,16Z))","Blood"
"hmdb:HMDB0010095","PIP2(18:1(9Z)/20:3(8Z,11Z,14Z)","Blood"
"hmdb:HMDB0010155","PIP3(18:1(11Z)/18:1(9Z))","Blood"
"pubchem:53480132","PIP(16:0/22:5(4Z,7Z,10Z,13Z,16","Blood"
"hmdb:HMDB0010098","PIP2(18:2(9Z,12Z)/16:0)","Blood"
"chemspider:24767995","PIP2(20:1(11Z)/18:2(9Z,12Z))","Blood"
"chemspider:24767940","PIP2(18:0/18:1(9Z))","Blood"
"chemspider:24767699","PI(18:0/20:3(8Z,11Z,14Z))","Blood"
"pubchem:53480319","PIP2(20:3(8Z,11Z,14Z)/18:0)","Blood"
"hmdb:HMDB0009800","PI(16:1(9Z)/18:1(11Z))","Blood"
"pubchem:53480184","PIP(18:2(9Z,12Z)/20:2(11Z,14Z)","Blood"
"hmdb:HMDB0010021","PIP(20:4(8Z,11Z,14Z,17Z)/18:1(","Blood"
"pubchem:53480280","PIP2(18:1(9Z)/18:1(9Z))","Blood"
"pubchem:53480269","PIP2(18:1(11Z)/18:3(6Z,9Z,12Z)","Blood"
"chemspider:24767977","PIP2(18:2(9Z,12Z)/18:1(11Z))","Blood"
"pubchem:53480285","PIP2(18:1(9Z)/20:3(5Z,8Z,11Z))","Blood"
"pubchem:53480258","PIP2(18:0/20:2(11Z,14Z))","Blood"
"chemspider:24767829","PIP(18:0/16:2(9Z,12Z))","Blood"
"hmdb:HMDB0009806","PI(18:0/16:1(9Z))","Blood"
"chemspider:24767869","PIP(18:2(9Z,12Z)/20:1(11Z))","Blood"
"pubchem:53480327","PIP2(20:4(8Z,11Z,14Z,17Z)/16:0","Blood"
"pubchem:53480290","PIP2(18:2(9Z,12Z)/18:0)","Blood"
"pubchem:53480237","PIP2(16:0/22:3(10Z,13Z,16Z))","Blood"
"hmdb:HMDB0009937","PIP(16:0/22:5(4Z,7Z,10Z,13Z,16","Blood"
"chemspider:24767943","PIP2(18:0/18:3(9Z,12Z,15Z))","Blood"
"chemspider:24767833","PIP(18:0/18:3(6Z,9Z,12Z))","Blood"
"hmdb:HMDB0010133","PIP2(20:4(5Z,8Z,11Z,14Z)/18:0)","Blood"
"hmdb:HMDB0009838","PI(18:1(9Z)/18:2(9Z,12Z))","Blood"
"pubchem:53480206","PIP(20:3(8Z,11Z,14Z)/18:1(11Z)","Blood"
"chemspider:24767987","PIP2(18:3(6Z,9Z,12Z)/18:1(9Z))","Blood"
"pubchem:53480208","PIP(20:3(8Z,11Z,14Z)/18:2(9Z,1","Blood"
"chemspider:24767926","PIP2(16:0/22:5(4Z,7Z,10Z,13Z,1","Blood"
"hmdb:HMDB0009798","PI(16:1(9Z)/16:1(9Z))","Blood"
"hmdb:HMDB0010088","PIP2(18:1(9Z)/18:1(11Z))","Blood"
"hmdb:HMDB0009833","PI(18:1(11Z)/20:4(8Z,11Z,14Z,1","Blood"
"chemspider:24767959","PIP2(18:1(11Z)/20:3(8Z,11Z,14Z","Blood"
"pubchem:53480122","PIP(16:0/18:1(11Z))","Blood"
"hmdb:HMDB0010105","PIP2(18:2(9Z,12Z)/20:2(11Z,14Z","Blood"
"chemspider:24767985","PIP2(18:3(6Z,9Z,12Z)/18:0)","Blood"
"pubchem:53480202","PIP(20:3(5Z,8Z,11Z)/18:1(9Z))","Blood"
"pubchem:53480295","PIP2(18:2(9Z,12Z)/20:1(11Z))","Blood"
"hmdb:HMDB0010094","PIP2(18:1(9Z)/20:3(5Z,8Z,11Z))","Blood"
"pubchem:53480256","PIP2(18:0/18:3(6Z,9Z,12Z))","Blood"
"hmdb:HMDB0010136","PIP2(20:4(8Z,11Z,14Z,17Z)/16:0","Blood"
"chemspider:24767746","PI(18:3(6Z,9Z,12Z)/22:3(10Z,13","Blood"
"pubchem:53480244","PIP2(16:1(9Z)/18:0)","Blood"
"hmdb:HMDB0009847","PI(18:2(9Z,12Z)/18:0)","Blood"
"chemspider:24767954","PIP2(18:1(11Z)/18:2(9Z,12Z))","Blood"
"hmdb:HMDB0009913","PI(22:4(10Z,13Z,16Z,19Z)/18:0)","Blood"
"hmdb:HMDB0010061","PIP2(18:0/16:2(9Z,12Z))","Blood"
"hmdb:HMDB0010131","PIP2(20:3(8Z,11Z,14Z)/18:2(9Z,","Blood"
"pubchem:53480207","PIP(20:3(8Z,11Z,14Z)/18:1(9Z))","Blood"
"hmdb:HMDB0010038","PIP2(16:0/18:2(9Z,12Z))","Blood"
"hmdb:HMDB0009826","PI(18:1(11Z)/18:2(9Z,12Z))","Blood"
"hmdb:HMDB0009829","PI(18:1(11Z)/20:1(11Z))","Blood"
"hmdb:HMDB0009830","PI(18:1(11Z)/20:3(5Z,8Z,11Z))","Blood"
"hmdb:HMDB0010150","PIP3(16:0/18:1(9Z))","Blood"
"hmdb:HMDB0009817","PI(18:0/22:4(10Z,13Z,16Z,19Z))","Blood"
"pubchem:53480283","PIP2(18:1(9Z)/18:3(9Z,12Z,15Z)","Blood"
"hmdb:HMDB0010126","PIP2(20:3(5Z,8Z,11Z)/18:2(9Z,1","Blood"
"pubchem:53480310","PIP2(20:2(11Z,14Z)/16:0)","Blood"
"hmdb:HMDB0009809","PI(18:0/18:2(9Z,12Z))","Blood"
"chemspider:24767903","PIP(22:2(13Z,16Z)/16:0)","Blood"
"chemspider:24767834","PIP(18:0/18:3(9Z,12Z,15Z))","Blood"
"pubchem:53480230","PIP2(16:0/20:1(11Z))","Blood"
"pubchem:53480236","PIP2(16:0/22:2(13Z,16Z))","Blood"
"pubchem:53480235","PIP2(16:0/20:4(8Z,11Z,14Z,17Z)","Blood"
"hmdb:HMDB0009801","PI(16:1(9Z)/18:1(9Z))","Blood"
"pubchem:53480239","PIP2(16:0/22:4(7Z,10Z,13Z,16Z)","Blood"
"hmdb:HMDB0009843","PI(18:1(9Z)/20:3(8Z,11Z,14Z))","Blood"
"pubchem:53480242","PIP2(16:1(9Z)/16:0)","Blood"
"hmdb:HMDB0010077","PIP2(18:1(11Z)/18:2(9Z,12Z))","Blood"
"hmdb:HMDB0009807","PI(18:0/16:2(9Z,12Z))","Blood"
"chemspider:24767947","PIP2(18:0/20:4(5Z,8Z,11Z,14Z))","Blood"
"chemspider:24768019","PIP2(22:3(10Z,13Z,16Z)/16:2(9Z","Blood"
"chemspider:24767872","PIP(18:2(9Z,12Z)/20:3(8Z,11Z,1","Blood"
"pubchem:53480232","PIP2(16:0/20:3(5Z,8Z,11Z))","Blood"
"chemspider:24767956","PIP2(18:1(11Z)/18:3(9Z,12Z,15Z","Blood"
"hmdb:HMDB0010063","PIP2(18:0/18:1(9Z))","Blood"
"hmdb:HMDB0010060","PIP2(18:0/16:1(9Z))","Blood"
"pubchem:53480201","PIP(20:3(5Z,8Z,11Z)/18:1(11Z))","Blood"
"hmdb:HMDB0010065","PIP2(18:0/18:3(6Z,9Z,12Z))","Blood"
"chemspider:24767714","PI(18:1(11Z)/20:1(11Z))","Blood"
"chemspider:24767923","PIP2(16:0/22:3(10Z,13Z,16Z))","Blood"
"hmdb:HMDB0010054","PIP2(16:1(9Z)/18:1(11Z))","Blood"
"chemspider:24767924","PIP2(16:0/22:4(10Z,13Z,16Z,19Z","Blood"
"chemspider:24767846","PIP(18:1(11Z)/20:3(5Z,8Z,11Z))","Blood"
"pubchem:53480284","PIP2(18:1(9Z)/20:1(11Z))","Blood"
"hmdb:HMDB0009795","PI(16:0/22:5(4Z,7Z,10Z,13Z,16Z","Blood"
"chemspider:24767952","PIP2(18:1(11Z)/18:1(11Z))","Blood"
"pubchem:53480222","PIP(22:5(7Z,10Z,13Z,16Z,19Z)/1","Blood"
"hmdb:HMDB0010079","PIP2(18:1(11Z)/18:3(9Z,12Z,15Z","Blood"
"hmdb:HMDB0010080","PIP2(18:1(11Z)/20:1(11Z))","Blood"
"hmdb:HMDB0009786","PI(16:0/20:2(11Z,14Z))","Blood"
"hmdb:HMDB0010037","PIP2(16:0/18:1(9Z))","Blood"
"hmdb:HMDB0010083","PIP2(18:1(11Z)/20:4(5Z,8Z,11Z,","Blood"
"hmdb:HMDB0009831","PI(18:1(11Z)/20:3(8Z,11Z,14Z))","Blood"
"chemspider:24767802","PI(22:5(4Z,7Z,10Z,13Z,16Z)/18:","Blood"
"pubchem:53480272","PIP2(18:1(11Z)/20:3(5Z,8Z,11Z)","Blood"
"hmdb:HMDB0010081","PIP2(18:1(11Z)/20:3(5Z,8Z,11Z)","Blood"
"hmdb:HMDB0009796","PI(16:0/22:5(7Z,10Z,13Z,16Z,19","Blood"
"hmdb:HMDB0009848","PI(18:2(9Z,12Z)/18:1(11Z))","Blood"
"pubchem:53480090","NA","Blood"
"chemspider:24767856","PIP(18:1(9Z)/18:2(9Z,12Z))","Blood"
"pubchem:53480277","PIP2(18:1(9Z)/16:1(9Z))","Blood"
"hmdb:HMDB0010089","PIP2(18:1(9Z)/18:1(9Z))","Blood"
"hmdb:HMDB0010091","PIP2(18:1(9Z)/18:3(6Z,9Z,12Z))","Blood"
"hmdb:HMDB0009841","PI(18:1(9Z)/20:1(11Z))","Blood"
"chemspider:24767860","PIP(18:1(9Z)/20:3(8Z,11Z,14Z))","Blood"
"hmdb:HMDB0010093","PIP2(18:1(9Z)/20:1(11Z))","Blood"
"chemspider:24767861","PIP(18:1(9Z)/20:4(5Z,8Z,11Z,14","Blood"
"chemspider:24767863","PIP(18:2(9Z,12Z)/16:0)","Blood"
"pubchem:53480282","PIP2(18:1(9Z)/18:3(6Z,9Z,12Z))","Blood"
"pubchem:53480281","PIP2(18:1(9Z)/18:2(9Z,12Z))","Blood"
"pubchem:53480274","PIP2(18:1(11Z)/20:4(5Z,8Z,11Z,","Blood"
"pubchem:53480196","PIP(20:2(11Z,14Z)/18:0)","Blood"
"chemspider:24767870","PIP(18:2(9Z,12Z)/20:2(11Z,14Z)","Blood"
"pubchem:53480250","PIP2(18:0/16:0)","Blood"
"chemspider:24767871","PIP(18:2(9Z,12Z)/20:3(5Z,8Z,11","Blood"
"chemspider:24767752","PI(20:0/18:2(9Z,12Z))","Blood"
"hmdb:HMDB0009936","PIP(16:0/22:4(7Z,10Z,13Z,16Z))","Blood"
"chemspider:24767713","PI(18:1(11Z)/18:3(9Z,12Z,15Z))","Blood"
"pubchem:53480296","PIP2(18:2(9Z,12Z)/20:2(11Z,14Z","Blood"
"pubchem:53480257","PIP2(18:0/18:3(9Z,12Z,15Z))","Blood"
"pubchem:53480255","PIP2(18:0/18:2(9Z,12Z))","Blood"
"hmdb:HMDB0010069","PIP2(18:0/20:3(8Z,11Z,14Z))","Blood"
"hmdb:HMDB0010153","PIP3(18:0/18:1(9Z))","Blood"
"chemspider:24767950","PIP2(18:1(11Z)/16:1(9Z))","Blood"
"chemspider:24767928","PIP2(16:1(9Z)/16:0)","Blood"
"hmdb:HMDB0010162","PIP3(18:2(9Z,12Z)/20:1(11Z))","Blood"
"chemspider:24767849","PIP(18:1(11Z)/20:4(8Z,11Z,14Z,","Blood"
"hmdb:HMDB0009787","PI(16:0/20:3(5Z,8Z,11Z))","Blood"
"pubchem:53480221","PIP(22:5(4Z,7Z,10Z,13Z,16Z)/16","Blood"
"chemspider:24767970","PIP2(18:1(9Z)/20:1(11Z))","Blood"
"chemspider:24767847","PIP(18:1(11Z)/20:3(8Z,11Z,14Z)","Blood"
"chemspider:24767934","PIP2(16:2(9Z,12Z)/18:0)","Blood"
"chemspider:24767978","PIP2(18:2(9Z,12Z)/18:1(9Z))","Blood"
"chemspider:24767975","PIP2(18:2(9Z,12Z)/16:0)","Blood"
"hmdb:HMDB0009873","PI(20:1(11Z)/20:4(5Z,8Z,11Z,14","Blood"
"hmdb:HMDB0009869","PI(20:0/20:4(5Z,8Z,11Z,14Z))","Blood"
"hmdb:HMDB0009872","PI(20:1(11Z)/18:2(9Z,12Z))","Blood"
"hmdb:HMDB0009870","PI(20:1(11Z)/18:1(11Z))","Blood"
"pubchem:53480313","PIP2(20:3(5Z,8Z,11Z)/16:0)","Blood"
"hmdb:HMDB0009876","PI(20:2(11Z,14Z)/18:0)","Blood"
"hmdb:HMDB0009875","PI(20:2(11Z,14Z)/16:0)","Blood"
"hmdb:HMDB0009879","PI(20:3(5Z,8Z,11Z)/16:0)","Blood"
"pubchem:53480316","PIP2(20:3(5Z,8Z,11Z)/18:1(9Z))","Blood"
"chemspider:24768022","PIP2(22:5(4Z,7Z,10Z,13Z,16Z)/1","Blood"
"hmdb:HMDB0010132","PIP2(20:4(5Z,8Z,11Z,14Z)/16:0)","Blood"
"hmdb:HMDB0010135","PIP2(20:4(5Z,8Z,11Z,14Z)/18:1(","Blood"
"pubchem:53480321","PIP2(20:3(8Z,11Z,14Z)/18:1(9Z)","Blood"
"hmdb:HMDB0010137","PIP2(20:4(8Z,11Z,14Z,17Z)/18:0","Blood"
"hmdb:HMDB0010139","PIP2(20:4(8Z,11Z,14Z,17Z)/18:1","Blood"
"pubchem:53480195","PIP(20:1(11Z)/18:2(9Z,12Z))","Blood"
"hmdb:HMDB0010100","PIP2(18:2(9Z,12Z)/18:1(11Z))","Blood"
"hmdb:HMDB0010056","PIP2(16:2(9Z,12Z)/16:0)","Blood"
"hmdb:HMDB0010144","PIP2(22:4(7Z,10Z,13Z,16Z)/16:0","Blood"
"pubchem:53480140","PIP(16:2(9Z,12Z)/22:3(10Z,13Z,","Blood"
"pubchem:53480203","PIP(20:3(5Z,8Z,11Z)/18:2(9Z,12","Blood"
"pubchem:53480204","PIP(20:3(8Z,11Z,14Z)/16:0)","Blood"
"chebi:14806","NA","Blood"
"kegg:C00626","PIP2(20:2(11Z,14Z)/16:0)","Blood"
"chemspider:24767797","PI(22:4(10Z,13Z,16Z,19Z)/16:0)","Blood"
"hmdb:HMDB0010028","PIP(22:4(7Z,10Z,13Z,16Z)/16:0)","Blood"
"chemspider:24767796","PI(22:3(10Z,13Z,16Z)/18:3(9Z,1","Blood"
"hmdb:HMDB0010151","PIP3(18:0/16:1(9Z))","Blood"
"pubchem:53480259","PIP2(18:0/20:3(5Z,8Z,11Z))","Blood"
"chemspider:24767929","PIP2(16:1(9Z)/16:1(9Z))","Blood"
"hmdb:HMDB0010075","PIP2(18:1(11Z)/18:1(11Z))","Blood"
"hmdb:HMDB0010034","PIP2(16:0/16:2(9Z,12Z))","Blood"
"hmdb:HMDB0010076","PIP2(18:1(11Z)/18:1(9Z))","Blood"
"hmdb:HMDB0010074","PIP2(18:1(11Z)/18:0)","Blood"
"pubchem:53480264","PIP2(18:1(11Z)/16:1(9Z))","Blood"
"chemspider:24767930","PIP2(16:1(9Z)/18:0)","Blood"
"pubchem:53480218","PIP(22:3(10Z,13Z,16Z)/16:2(9Z,","Blood"
"pubchem:53480270","PIP2(18:1(11Z)/18:3(9Z,12Z,15Z","Blood"
"pubchem:53480226","PIP2(16:0/18:0)","Blood"
"pubchem:53480225","PIP2(16:0/16:2(9Z,12Z))","Blood"
"pubchem:53480266","PIP2(18:1(11Z)/18:1(11Z))","Blood"
"hmdb:HMDB0010040","PIP2(16:0/20:2(11Z,14Z))","Blood"
"chemspider:24767937","PIP2(18:0/16:1(9Z))","Blood"
"pubchem:53480227","PIP2(16:0/18:1(11Z))","Blood"
"pubchem:53480233","PIP2(16:0/20:3(8Z,11Z,14Z))","Blood"
"chemspider:24767700","PI(18:0/20:4(5Z,8Z,11Z,14Z))","Blood"
"chemspider:24767696","PI(18:0/18:3(9Z,12Z,15Z))","Blood"
"hmdb:HMDB0009917","PI(22:5(4Z,7Z,10Z,13Z,16Z)/18:","Blood"
"hmdb:HMDB0009911","PI(22:3(10Z,13Z,16Z)/18:3(9Z,1","Blood"
"hmdb:HMDB0009797","PI(16:1(9Z)/16:0)","Blood"
"hmdb:HMDB0010049","PIP2(16:0/22:5(4Z,7Z,10Z,13Z,1","Blood"
"chemspider:24767944","PIP2(18:0/20:2(11Z,14Z))","Blood"
"hmdb:HMDB0010055","PIP2(16:1(9Z)/18:1(9Z))","Blood"
"chemspider:24767828","PIP(18:0/16:1(9Z))","Blood"
"hmdb:HMDB0009803","PI(16:2(9Z,12Z)/18:0)","Blood"
"chemspider:24767827","PIP(18:0/16:0)","Blood"
"chemspider:24767709","PI(18:1(11Z)/18:1(11Z))","Blood"
"hmdb:HMDB0009846","PI(18:2(9Z,12Z)/16:0)","Blood"
"hmdb:HMDB0009808","PI(18:0/18:0)","Blood"
"chemspider:24767949","PIP2(18:1(11Z)/16:0)","Blood"
"hmdb:HMDB0010059","PIP2(18:0/16:0)","Blood"
"hmdb:HMDB0009812","PI(18:0/20:2(11Z,14Z))","Blood"
"hmdb:HMDB0009811","PI(18:0/18:3(9Z,12Z,15Z))","Blood"
"hmdb:HMDB0010147","PIP3(16:0/16:0)","Blood"
"chemspider:24767711","PI(18:1(11Z)/18:2(9Z,12Z))","Blood"
"hmdb:HMDB0009931","PIP(16:0/20:4(5Z,8Z,11Z,14Z))","Blood"
"chemspider:24767836","PIP(18:0/20:3(8Z,11Z,14Z))","Blood"
"pubchem:53480253","PIP2(18:0/18:1(11Z))","Blood"
"hmdb:HMDB0010027","PIP(22:4(10Z,13Z,16Z,19Z)/16:0","Blood"
"pubchem:53480261","PIP2(18:0/20:4(5Z,8Z,11Z,14Z))","Blood"
"hmdb:HMDB0009780","PI(16:0/16:2(9Z,12Z))","Blood"
"pubchem:53480263","PIP2(18:1(11Z)/16:0)","Blood"
"hmdb:HMDB0009782","PI(16:0/18:1(11Z))","Blood"
"chemspider:24767843","PIP(18:1(11Z)/18:1(9Z))","Blood"
"hmdb:HMDB0010160","PIP3(18:1(9Z)/20:3(5Z,8Z,11Z))","Blood"
"chemspider:24767848","PIP(18:1(11Z)/20:4(5Z,8Z,11Z,1","Blood"
"chemspider:24767725","PI(18:1(9Z)/18:3(9Z,12Z,15Z))","Blood"
"chemspider:24767686","PI(16:1(9Z)/18:1(9Z))","Blood"
"hmdb:HMDB0009827","PI(18:1(11Z)/18:3(6Z,9Z,12Z))","Blood"
"hmdb:HMDB0010082","PIP2(18:1(11Z)/20:3(8Z,11Z,14Z","Blood"
"hmdb:HMDB0009871","PI(20:1(11Z)/18:1(9Z))","Blood"
"chemspider:24767974","PIP2(18:1(9Z)/20:4(8Z,11Z,14Z,","Blood"
"chemspider:24767852","PIP(18:1(9Z)/16:1(9Z))","Blood"
"pubchem:53480271","PIP2(18:1(11Z)/20:1(11Z))","Blood"
"pubchem:53480124","PIP(16:0/20:1(11Z)) ","Blood"
"pubchem:53480275","PIP2(18:1(11Z)/20:4(8Z,11Z,14Z","Blood"
"chemspider:24767736","PI(18:2(9Z,12Z)/20:0)","Blood"
"pubchem:53480276","PIP2(18:1(9Z)/16:0)","Blood"
"chemspider:24767980","PIP2(18:2(9Z,12Z)/20:0)","Blood"
"hmdb:HMDB0009835","PI(18:1(9Z)/16:1(9Z))","Blood"
"pubchem:53480279","PIP2(18:1(9Z)/18:1(11Z))","Blood"
"chemspider:24767984","PIP2(18:2(9Z,12Z)/20:3(8Z,11Z,","Blood"
"hmdb:HMDB0009837","PI(18:1(9Z)/18:1(9Z))","Blood"
"chemspider:24767986","PIP2(18:3(6Z,9Z,12Z)/18:1(11Z)","Blood"
"hmdb:HMDB0009842","PI(18:1(9Z)/20:3(5Z,8Z,11Z))","Blood"
"pubchem:53480126","PIP(16:0/20:3(5Z,8Z,11Z))","Blood"
"chemspider:24767990","PIP2(18:3(9Z,12Z,15Z)/18:1(9Z)","Blood"
"chemspider:24767707","PI(18:1(11Z)/16:0)","Blood"
"chemspider:24767864","PIP(18:2(9Z,12Z)/18:0)","Blood"
"hmdb:HMDB0009845","PI(18:1(9Z)/20:4(8Z,11Z,14Z,17","Blood"
"wikidata:Q2273248","NA","Blood"
"hmdb:HMDB0010104","PIP2(18:2(9Z,12Z)/20:1(11Z))","Blood"
"chemspider:24767753","PI(20:0/20:3(8Z,11Z,14Z))","Blood"
"hmdb:HMDB0009930","PIP(16:0/20:3(8Z,11Z,14Z))","Blood"
"pubchem:53480144","PIP(18:0/18:1(11Z))","Blood"
"hmdb:HMDB0010108","PIP2(18:3(6Z,9Z,12Z)/18:0)","Blood"
"pubchem:53480298","PIP2(18:2(9Z,12Z)/20:3(8Z,11Z,","Blood"
"pubchem:53480297","PIP2(18:2(9Z,12Z)/20:3(5Z,8Z,1","Blood"
"hmdb:HMDB0009818","PI(18:0/22:4(7Z,10Z,13Z,16Z))","Blood"
"chemspider:24767800","PI(22:4(7Z,10Z,13Z,16Z)/18:0)","Blood"
"pubchem:53480262","PIP2(18:0/20:4(8Z,11Z,14Z,17Z)","Blood"
"pubchem:53480215","PIP(20:4(8Z,11Z,14Z,17Z)/18:1(","Blood"
"hmdb:HMDB0010073","PIP2(18:1(11Z)/16:1(9Z))","Blood"
"pubchem:53480302","PIP2(18:3(9Z,12Z,15Z)/18:0)","Blood"
"hmdb:HMDB0009823","PI(18:1(11Z)/16:1(9Z))","Blood"
"hmdb:HMDB0010117","PIP2(20:1(11Z)/18:1(9Z))","Blood"
"hmdb:HMDB0010118","PIP2(20:1(11Z)/18:2(9Z,12Z))","Blood"
"hmdb:HMDB0009949","PIP(18:0/18:1(11Z))","Blood"
"chemspider:24767810","PIP(16:0/20:2(11Z,14Z))","Blood"
"hmdb:HMDB0010041","PIP2(16:0/20:3(5Z,8Z,11Z))","Blood"
"hmdb:HMDB0009792","PI(16:0/22:3(10Z,13Z,16Z))","Blood"
"hmdb:HMDB0010123","PIP2(20:3(5Z,8Z,11Z)/18:0)","Blood"
"pubchem:53480169","PIP(18:1(9Z)/18:1(9Z))","Blood"
"hmdb:HMDB0009996","PIP(18:3(9Z,12Z,15Z)/18:0)","Blood"
"pubchem:53480174","PIP(18:1(9Z)/20:4(5Z,8Z,11Z,14","Blood"
"pubchem:53480173","PIP(18:1(9Z)/20:3(8Z,11Z,14Z))","Blood"
"pubchem:53480315","PIP2(20:3(5Z,8Z,11Z)/18:1(11Z)","Blood"
"hmdb:HMDB0010130","PIP2(20:3(8Z,11Z,14Z)/18:1(9Z)","Blood"
"pubchem:53480314","PIP2(20:3(5Z,8Z,11Z)/18:0)","Blood"
"pubchem:53480318","PIP2(20:3(8Z,11Z,14Z)/16:0)","Blood"
"pubchem:53480183","PIP(18:2(9Z,12Z)/20:1(11Z))","Blood"
