"metabolites","totpathways","hmdb","kegg","wiki","reac","Synonym"
"RAMP_C_000012948",40,0,4,1,35,"a-D-Glucopyranuronicacid1->5'-esterwithuridine5'-(trihydrogenpyrophosphate)"
"RAMP_C_000113386",39,0,0,0,35,NA
"RAMP_C_000113411",42,0,0,0,35,NA
"RAMP_C_000113443",35,0,0,0,35,NA
"RAMP_C_000113666",38,0,0,0,35,NA
"RAMP_C_000111560",50,0,14,2,34,"Fattyacid"
"RAMP_C_000093863",40,0,5,1,34,"Sulfate(ion2-)"
"RAMP_C_000000409",52,0,8,1,34,"1-Linoleoyl-2-erucoyl-sn-glycero-3-phosphoethanolamine"
"RAMP_C_000057078",51,0,13,3,34,"Acetylcholineion"
"RAMP_C_000024078",54,0,2,0,34,"(9Z)-9-Octadecenoate"
"RAMP_C_000113314",40,0,0,0,34,NA
"RAMP_C_000113637",40,0,0,0,34,NA
"RAMP_C_000106258",42,0,5,2,33,"Add-F"
"RAMP_C_000099122",33,0,0,0,33,"(2S)-2,6-Diammoniohexanoate"
"RAMP_C_000113609",37,0,0,0,33,NA
"RAMP_C_000113702",41,0,0,0,33,NA
"RAMP_C_000094487",41,0,8,1,32,"Dioxidanidyl"
"RAMP_C_000035759",49,2,7,4,32,"(2-Hydroxyethyl)trimethylammonium"
"RAMP_C_000078809",44,0,4,1,32,"ApolonB6"
"RAMP_C_000107484",35,0,2,1,32,"1-Undecanecarboxylate"
"RAMP_C_000055738",1915,1871,9,3,32,"HexadecanoylCoA"
"RAMP_C_000006515",39,0,5,2,32,"3'-Phospho-5'-adenylylsulfate"
"RAMP_C_000011647",41,0,1,1,32,"(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate"
"RAMP_C_000113204",34,0,0,0,32,NA
"RAMP_C_000113253",32,0,0,0,32,NA
"RAMP_C_000113624",32,0,0,0,32,NA
"RAMP_C_000085475",39,0,2,2,31,"1,5-Dihydro-FAD"
"RAMP_C_000052373",41,0,3,2,31,"(2S)-2-azaniumyl-4-{[(1R)-2-{[(2R)-2-[(4S)-4-azaniumyl-4-carboxylatobutanamido]-2-[(carboxylatomethyl)carbamoyl]ethyl]disulfanyl}-1-[(carboxylatomethyl)carbamoyl]ethyl]carbamoyl}butanoate"
"RAMP_C_000086690",49,0,8,1,30,"(3-Phosphatidyl)-1-D-inositol"
"RAMP_C_000001392",75,27,12,1,30,"(2-hydroxy-3-phosphonooxypropyl)(E)-octadec-9-enoate"
"RAMP_C_000007957",53,3,13,3,30,"D-Fructose6-phosphate"
"RAMP_C_000075761",32,0,2,0,30,"CMP-N-Acetylneuraminate"
"RAMP_C_000030785",41,0,10,1,30,"Bicarbonate"
"RAMP_C_000113457",30,0,0,0,30,NA
"RAMP_C_000113571",33,0,0,0,30,NA
"RAMP_C_000094671",40,0,9,2,29,"(+)-Lactate"
"RAMP_C_000111115",38,0,8,1,29,"alpha-D-Glucose6-phosphate"
"RAMP_C_000111967",32,0,4,0,28,"1-Phosphatidyl-1D-myo-inositol4-phosphate"
"RAMP_C_000097197",31,0,2,1,28,"Methaldehyde"
"RAMP_C_000049282",46,3,7,2,28,"(4)-Androsten-3,17-dione"
"RAMP_C_000113117",37,0,0,0,28,NA
"RAMP_C_000012516",31,0,3,1,27,"(+)-chenodeoxycholate"
"RAMP_C_000109335",39,5,5,1,27,"3'-Phosphoryl-AMP"
"RAMP_C_000063310",43,0,7,4,27,"1,2,3-Trihydroxypropane"
"RAMP_C_000112847",29,0,0,1,27,NA
"RAMP_C_000113082",30,0,0,0,27,NA
"RAMP_C_000113513",31,0,0,0,27,NA
"RAMP_C_000007862",41,0,3,1,26,"(all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraen-1-ol"
"RAMP_C_000100033",31,0,3,2,26,"17b-[1-Methyl-3-carboxypropyl]etiocholane-3a,7a,12a-triol"
"RAMP_C_000061847",30,0,2,2,26,"2'-Deoxy-5'-ATP"
"RAMP_C_000055659",55,21,3,1,26,"(6R)-5,6,7,8-Tetrahydro-L-biopterin"
"RAMP_C_000112941",32,0,0,1,26,NA
"RAMP_C_000113405",26,0,0,0,26,NA
"RAMP_C_000060464",28,0,0,0,26,"Avandia"
"RAMP_C_000084507",326,288,4,2,25,"Myristoyl-CoA"
"RAMP_C_000044920",42,0,6,3,25,"(+)-testosterone"
"RAMP_C_000112039",34,0,5,0,25,"1-Phosphatidyl-1D-myo-inositol3,4-bisphosphate"
"RAMP_C_000113445",25,0,0,0,25,NA
"RAMP_C_000059401",38,0,9,3,24,"1H-Imidazole-4-ethanamine"
"RAMP_C_000049352",35,0,7,1,24,"(5Z,13E)-(15S)-6,9-alpha-epoxy-11-alpha,15-dihydroxyprosta-5,13-dienoate"
"RAMP_C_000039421",31,1,4,1,24,"1-Butanoate"
"RAMP_C_000113322",24,0,0,0,24,NA
"RAMP_C_000004021",64,0,34,4,23,"Nitrogenoxide(nox)"
"RAMP_C_000010372",33,0,5,0,23,"GDPMannose"
"RAMP_C_000011794",52,0,4,1,23,"3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-Nonatetraenal"
"RAMP_C_000022304",46,0,16,2,23,"17OHE4NP"
"RAMP_C_000107409",28,0,2,3,23,"2'-Deoxycytidine-5'-triphosphate"
"RAMP_C_000113218",23,0,0,0,23,NA
"RAMP_C_000113273",26,0,0,0,23,NA
"RAMP_C_000037617",23,0,0,0,23,"2acetamido2DeoxyDglucose"
"RAMP_C_000113493",26,0,0,0,23,NA
"RAMP_C_000015189",28,0,5,1,22,"ThromboxaneA2"
"RAMP_C_000038455",23,0,1,0,22,"(3a,5b)-3-hydroxy-cholan-24-oate"
"RAMP_C_000103995",26,0,2,2,22,"2'-Deoxythymidine5'-triphosphate"
"RAMP_C_000089498",35,0,7,1,22,"(5Z,13E)-(15S)-9,15-dihydroxy-11-oxoprosta-5,13-dienoate"
"RAMP_C_000084229",26,0,2,0,22,"1-Tridecanecarboxylate"
"RAMP_C_000112565",32,0,7,3,22,"Acyl-CoA"
"RAMP_C_000097741",30,0,6,2,22,"(+-)-homocysteine"
"RAMP_C_000079139",26,0,4,1,21,"3a,7a,12a-Trihydroxy-5b-cholan-24-oylglycine"
"RAMP_C_000043556",35,7,5,2,21,"3a,7a,12a-Trihydroxy-5b-cholanicacid-24-taurine"
"RAMP_C_000087714",35,0,8,1,21,"(+)-ProstaglandinF2a"
"RAMP_C_000092030",25,0,2,2,21,"5-(Acetylamino)-3,5-dideoxy-D-glycero-b-D-galacto-2-Nonulopyranosonate"
"RAMP_C_000030052",24,0,3,0,21,"Diphosphatefucose,guanosine"
"RAMP_C_000051733",29,0,8,0,21,"Apirlevulosa"
"RAMP_C_000097365",42,17,2,2,21,"1,6-Dihydro-6-iminopurine"
"RAMP_C_000032632",27,0,2,0,21,"Bicarnesine"
"RAMP_C_000111669",29,0,2,0,21,"1-Phosphatidyl-1D-myo-inositol5-phosphate"
"RAMP_C_000105225",34,0,10,3,21,"17a-Progesterone"
"RAMP_C_000019541",29,0,7,1,21,"Acetaldehyde"
"RAMP_C_000093805",25,0,2,2,21,"Deoxyguanosine5'-triphosphate"
"RAMP_C_000112328",27,0,2,0,21,"Phosphatidylglycerol"
"RAMP_C_000113503",21,0,0,0,21,NA
"RAMP_C_000072436",27,0,6,1,20,"(+)-mannose"
"RAMP_C_000001814",22,0,1,1,20,"5b-Cholanicacid-3a,12a-diol"
"RAMP_C_000053343",29,0,8,1,20,"15-Apo-beta-caroten-15-oate"
"RAMP_C_000023051",22,0,2,0,20,"2-Acetamido-2-deoxy-a-D-allopyranose"
"RAMP_C_000113564",27,0,0,0,20,NA
"RAMP_C_000018331",31,0,7,1,19,"2-Carboxyethylamine"
"RAMP_C_000111671",30,0,3,0,19,"1-Phosphatidyl-1D-myo-inositol3,5-bisphosphate"
"RAMP_C_000003437",29,0,3,1,19,"17-Hydroxy-androstan-3-one"
"RAMP_C_000000642",22,0,3,0,19,"b-D-Mannopyranose-1-Esterwithdolicholdihydrogenphosphate"
"RAMP_C_000061668",24,0,3,2,19,"(2E,6E)-Farnesyldiphosphate"
"RAMP_C_000006342",20,0,1,0,19,"Hyaluronicacid"
"RAMP_C_000104683",21,0,2,1,18,"5,6-Dimethyl-1-a-D-ribofuranosyl-1H-benzimidazole"
"RAMP_C_000103589",31,0,11,2,18,"(-)-(S)-Malate"
"RAMP_C_000014159",21,0,2,1,18,"(-)-Inosine"
"RAMP_C_000105699",24,0,4,2,18,"(3b)-3-hydroxy-Pregn-5-en-20-one"
"RAMP_C_000015851",23,0,1,1,18,"Iodide"
"RAMP_C_000010259",34,0,3,2,18,"12-Deoxycholyltaurine"
"RAMP_C_000019685",23,0,4,1,18,"Peroxonitrite"
"RAMP_C_000022392",29,0,7,4,18,"(6S)-Tetrahydrofolate"
"RAMP_C_000018197",31,0,6,1,18,"ProstaglandinH(,3)"
"RAMP_C_000041610",25,0,3,4,18,"(2S)-2-amino-5-(carbamoylamino)pentanoate"
"RAMP_C_000104206",24,0,2,0,18,"Dolicholmonophosphate"
"RAMP_C_000113280",18,0,0,0,18,NA
"RAMP_C_000113421",18,0,0,0,18,NA
"RAMP_C_000113614",18,0,0,0,18,NA
"RAMP_C_000113690",18,0,0,0,18,NA
"RAMP_C_000072783",27,0,1,0,17,"All-trans-Retinolpalmitate"
"RAMP_C_000099174",26,1,6,2,17,"1-Aminoethane-2-sulfonate"
"RAMP_C_000028494",30,0,7,1,17,"(6z,8e,10e,14z)-(5S,12R)-5,12-dihydroxyicosa-6,8,10,14-tetraenoate"
"RAMP_C_000107382",22,0,3,2,17,"1H-Purine-2,6,8-triol"
"RAMP_C_000061330",21,0,3,1,17,"3-Carboxylpyridine"
"RAMP_C_000102725",36,8,5,1,17,"alpha-D-Glucopyranuronicacid"
"RAMP_C_000001191",19,0,2,0,17,"alpha-D-Xylopyranosylester"
"RAMP_C_000030505",22,0,3,2,17,"3-Methyl-3-butenylpyrophosphate"
"RAMP_C_000067020",29,0,10,2,17,"2-Hydroxy-1,2,3-propanetricarboxylate"
"RAMP_C_000083406",25,0,6,2,17,"1,5,10-Triazadecane"
"RAMP_C_000063917",21,0,3,0,17,"1-Methyl-3-carbamoylpyridinium"
"RAMP_C_000113309",17,0,0,0,17,NA
"RAMP_C_000113391",17,0,0,0,17,NA
"RAMP_C_000113558",17,0,0,0,17,NA
"RAMP_C_000113639",17,0,0,0,17,NA
"RAMP_C_000076743",30,0,7,3,16,"a-D-Glucopyranosylphosphate"
"RAMP_C_000072501",33,0,7,2,16,"3-Ketobutyrate"
"RAMP_C_000020469",23,0,1,0,16,"7-a,25-Dihydroxycholesterol"
"RAMP_C_000111847",20,0,1,1,16,"L-Methionyl-tRNA"
"RAMP_C_000021900",22,0,3,3,16,"11-Dehydroxycorticosterone"
"RAMP_C_000015209",32,0,9,3,16,"(2S,3R,4E)-2-acylamino-1,3-octadec-4-enediol"
"RAMP_C_000027593",18,0,1,1,16,"3,3',5'-Triiodo-L-thyronine"
"RAMP_C_000102302",20,0,2,1,16,"1-(6-Amino-9H-purin-9-yl)-1-deoxy-5-S-methyl-5-thio-beta-D-Ribofuranose"
"RAMP_C_000068907",20,0,1,1,16,"4,7,10,13,16,19-Docosahexaenoate"
"RAMP_C_000060993",23,0,5,2,16,"Adofeed"
"RAMP_C_000033020",28,1,8,3,16,"(+)-S-Ornithine"
"RAMP_C_000113223",17,0,0,0,16,NA
"RAMP_C_000054674",16,0,0,0,16,NA
"RAMP_C_000113360",21,0,0,0,16,NA
"RAMP_C_000113533",20,0,0,0,16,NA
"RAMP_C_000113616",22,0,0,0,16,NA
"RAMP_C_000113667",16,0,0,0,16,NA
"RAMP_C_000111854",22,0,1,0,15,"tRNA(Met)"
"RAMP_C_000005629",20,0,4,1,15,"2,4-Dihydroxypyrimidine"
"RAMP_C_000001767",25,0,8,2,15,"CoAS-(hydrogensuccinate)"
"RAMP_C_000065516",18,0,2,1,15,"2'-dAMP"
"RAMP_C_000111263",19,0,1,0,15,"L-Cysteinyl-tRNA(Cys)"
"RAMP_C_000111365",19,0,1,0,15,"L-Threonyl-tRNA(Thr)"
"RAMP_C_000073970",17,0,2,0,15,"1-Nonanecarboxylate"
"RAMP_C_000111487",19,0,1,1,15,"L-Arginyl-tRNA(Arg)"
"RAMP_C_000111493",20,0,1,1,15,"L-Alanyl-tRNA"
"RAMP_C_000111522",19,0,1,0,15,"L-Prolyl-tRNA(Pro)"
"RAMP_C_000111537",19,0,1,1,15,"L-Leucyl-tRNA"
"RAMP_C_000067214",23,2,3,3,15,"(Carboxymethyl)trimethylammoniumhydroxideinnersalt"
"RAMP_C_000111625",18,0,1,0,15,"L-Aspartyl-tRNA(Asp)"
"RAMP_C_000111747",22,0,3,1,15,"L-Glutamyl-tRNA(Glu)"
"RAMP_C_000011405",18,0,2,1,15,"Cob(I)alamin"
"RAMP_C_000101398",27,4,5,2,15,"(+)-ascorbate"
"RAMP_C_000111860",19,0,1,1,15,"L-Histidyl-tRNA(His)"
"RAMP_C_000111905",19,0,1,0,15,"L-Asparaginyl-tRNA(Asn)"
"RAMP_C_000111935",28,0,11,2,15,"D-Glyceraldehyde3-phosphate"
"RAMP_C_000111951",18,0,1,0,15,"Glycyl-tRNA(Gly)"
"RAMP_C_000039090",37,0,13,4,15,"MalonylCoA"
"RAMP_C_000054298",63,44,4,0,15,"(+)-Biotin"
"RAMP_C_000056937",18,0,2,1,15,"2,4-Dihydroxy-5-methylpyrimidine"
"RAMP_C_000112205",19,0,1,1,15,"L-Tryptophanyl-tRNA(Trp)"
"RAMP_C_000112301",19,0,1,1,15,"L-Tyrosyl-tRNA(Tyr)"
"RAMP_C_000103915",22,0,6,1,15,"2-Methylacetyl-CoA"
"RAMP_C_000112386",19,0,2,0,15,"Glutaminyl-tRNA"
"RAMP_C_000112366",19,0,1,1,15,"L-Isoleucyl-tRNA(Ile)"
"RAMP_C_000067306",28,0,10,3,15,"(+)-3,17b-Estradiol"
"RAMP_C_000112640",18,0,1,0,15,"L-Lysyl-tRNA"
"RAMP_C_000112495",18,0,1,0,15,"L-Seryl-tRNA(Ser)"
"RAMP_C_000024292",40,0,15,2,15,"3',5'-CyclicGMP"
"RAMP_C_000112553",19,0,1,1,15,"L-Phenylalanyl-tRNA(Phe)"
"RAMP_C_000069436",25,0,9,1,15,"(2-amino-3-Hydroxy-octadec-4-enoxy)phosphonate"
"RAMP_C_000094683",19,0,2,2,15,"1,7-Dihydro-6H-purin-6-one"
"RAMP_C_000076753",24,0,4,2,15,"5'-IMP"
"RAMP_C_000112633",20,0,1,1,15,"L-Valyl-tRNA(Val)"
"RAMP_C_000113577",18,0,0,0,15,NA
"RAMP_C_000113593",15,0,0,0,15,NA
"RAMP_C_000113600",15,0,0,0,15,NA
"RAMP_C_000020707",16456,16425,12,5,14,"1,3-Dihydroxy-2-Propanonemono(dihydrogenphosphate)"
"RAMP_C_000066580",20,0,2,0,14,"Dolicholmonophosphateglucose"
"RAMP_C_000006244",22,0,7,1,14,"(R-(R*,S*-(E,E,Z,Z)))-N-(S-(1-(4-carboxy-1-hydroxybutyl)-2,4,6,9-pentadecatetraenyl)-N-L-gamma-glutamyl-L-cysteinyl)-Glycine"
"RAMP_C_000041209",17,0,2,1,14,"1-(2-Deoxy-b-D-erythro-pentofuranosyl)-5-methyl-2,4(1H,3H)-pyrimidinedione"
"RAMP_C_000013341",20,0,5,1,14,"(R-(R*,S*-(E,E,Z,Z)))-N-(S-(1-(4-carboxy-1-hydroxybutyl)-2,4,6,9-pentadecatetraenyl)-L-cysteinyl)-glycine"
"RAMP_C_000053897",19,0,4,1,14,"20-Hydroxy-leukotrieneE4"
"RAMP_C_000111628",20,0,5,1,14,"(R)-Methylmalonyl-CoA"
"RAMP_C_000004119",17,0,2,1,14,"2-Amino-1,9-dihydro-9-b-D-ribofuranosyl-6H-purin-6-one"
"RAMP_C_000111827",23,0,1,0,14,"1,3-beta-D-Glucan"
"RAMP_C_000065629",298,278,4,2,14,"Dodecanoyl-CoA"
"RAMP_C_000054200",30,0,8,0,14,"1-Phosphatidyl-1D-myo-inositol3-phosphate"
"RAMP_C_000017211",26,0,10,2,14,"5-Phospho-a-D-ribose-1-diphosphate"
"RAMP_C_000071390",18,0,3,1,14,"(23R)-Hydroxychenodeoxycholylglycine"
"RAMP_C_000021591",17,0,2,1,14,"(5'-Deoxy-5'-adenosyl)cobamidecoenzyme"
"RAMP_C_000009071",22,0,1,1,14,"11-cis-VitaminAalcohol"
"RAMP_C_000005509",17,0,2,1,14,"1-(b-D-Ribofuranosyl)-2-oxo-4-amino-1,2-dihydro-1,3-diazine"
"RAMP_C_000094431",18,0,3,1,14,"(7E,9E,11Z,13E)-(5S,6R,15S)-5,6,15-Trihydroxyicosa-7,9,11,13-tetraenoate"
"RAMP_C_000031866",17,0,2,1,14,"(3beta)-3-(sulfooxy)-Androst-5-en-17-one"
"RAMP_C_000041356",17,0,2,1,14,"1-b-D-Ribofuranosyl-2,4(1H,3H)-pyrimidinedione"
"RAMP_C_000087491",15,0,0,1,14,"Algobaz"
"RAMP_C_000113056",15,0,0,1,14,NA
"RAMP_C_000113068",15,0,0,1,14,NA
"RAMP_C_000113089",14,0,0,0,14,NA
"RAMP_C_000113272",14,0,0,0,14,NA
"RAMP_C_000113294",14,0,0,0,14,NA
"RAMP_C_000113329",14,0,0,0,14,NA
"RAMP_C_000113333",19,0,0,0,14,NA
"RAMP_C_000113337",20,0,0,0,14,NA
"RAMP_C_000113381",14,0,0,0,14,NA
"RAMP_C_000113505",17,0,0,0,14,NA
"RAMP_C_000062646",14,0,0,0,14,NA
"RAMP_C_000113705",14,0,0,0,14,NA
"RAMP_C_000107817",16,0,2,1,13,"20alpha,22beta-Dihydroxycholesterol"
"RAMP_C_000092536",18,0,3,0,13,"Alcoolmethylique"
"RAMP_C_000069540",33,6,5,3,13,"1-(Dihydrogenphosphate)Glycerol"
"RAMP_C_000051942",21,0,5,3,13,"11,21-Dihydroxypregn-4-ene-3,20-dione"
"RAMP_C_000005268",19,0,3,3,13,"2'-Deoxythymidine5'-monophosphate"
"RAMP_C_000039664",27,0,12,2,13,"2-Ketosuccinate"
"RAMP_C_000067637",19,0,3,3,13,"6-(Dihydrogenphosphate)-(8CI)-D-Gluconicaciddelta-lactone"
"RAMP_C_000099720",51,35,2,1,13,"11-Deoxy-17-hydroxy-Corticosterone"
"RAMP_C_000004655",20,0,5,2,13,"1,5,10,14-Tetraazatetradecane"
"RAMP_C_000001804",19,0,4,2,13,"C14Sphingomyelin"
"RAMP_C_000056123",21,1,6,1,13,"cis-1,2,3,5-trans-4,6-Cyclohexanehexol"
"RAMP_C_000011341",20,0,6,1,13,"1,4-Epoxy-1,3-butadiene"
"RAMP_C_000017795",21,0,7,1,13,"(-)-Thyroxine"
"RAMP_C_000065683",14,0,1,0,13,"(beta)-cholest-5-ene-3-25-diol"
"RAMP_C_000044766",17,0,3,1,13,"5,8,11,14-Eicosatetraenoylethanolamide"
"RAMP_C_000073040",17,0,2,2,13,"2-Amino-1,7-dihydro-6H-Purin-6-one"
"RAMP_C_000018673",17,0,3,1,13,"11b,18,21-Trihydroxy-pregn-4-ene-3,20-dione"
"RAMP_C_000113109",13,0,0,0,13,NA
"RAMP_C_000113210",13,0,0,0,13,NA
"RAMP_C_000090735",13,0,0,0,13,NA
"RAMP_C_000113532",13,0,0,0,13,NA
"RAMP_C_000113665",13,0,0,0,13,NA
"RAMP_C_000031330",19,0,3,4,12,"Cholinephosphate"
"RAMP_C_000018372",20,0,5,3,12,"(3b,5Z,7E)-9,10-Secocholesta-5,7,10(19)-trienetriol"
"RAMP_C_000082795",13,0,1,0,12,"(2-Aminoethyl)benzene"
"RAMP_C_000111211",15,0,3,0,12,"12(S)-HETE"
"RAMP_C_000005443",16,0,2,2,12,"2'-Deoxycytidine5'-monophosphate"
"RAMP_C_000001100",14,0,1,1,12,"Ceramidetrihexoside"
"RAMP_C_000103287",18,0,4,2,12,"5-Methoxy-N-acetyltryptamine"
"RAMP_C_000078103",16,0,4,0,12,"(5Z,8Z,11Z,14Z)-Icosatetraenoyl-CoA"
"RAMP_C_000092300",17,0,4,1,12,"(5Z)-7-{(1R,4S,5R,6R)-6-[(1E,3S)-3-hydroperoxyoct-1-en-1-yl]-2,3-dioxabicyclo[2.2.1]hept-5-yl}hept-5-enoate"
"RAMP_C_000062278",18,0,2,1,12,"EconazoleNitrate"
"RAMP_C_000074218",13,0,1,0,12,"5-Keto-6,8,11,14-eicosatetraenoate"
"RAMP_C_000035163",22,0,3,3,12,"1-Amino-2-hydroxyethane"
"RAMP_C_000054410",16,0,3,1,12,"25-Hydroxy-cholecalciferol"
"RAMP_C_000022111",15,0,2,1,12,"2'-Deoxy-5'-GMP"
"RAMP_C_000044395",23,0,8,3,12,"(-)-3-(3,4-dihydroxyphenyl)-L-alanine"
"RAMP_C_000068165",16,0,2,2,12,"1,3,7-Trimethyl-2,6-dioxopurine"
"RAMP_C_000058514",15,0,3,0,12,"Dolichyldiphosphate"
